Nombre de usuario,Usuario,Fecha,Texto
Asdertom,@Asdertom,2021-03-05T20:32:03.000Z,"Vídeo subiéndose sobre mi experiencia acerca de la vacuna del covid 19.

A las 22:00 en mi canal de Youtube :)"
Carlos Prette,@crprette,2021-03-05T20:30:03.000Z,"“La entrega de la vacuna COVID-19 está lista para la corrupción”, dice Transparencia Internacional"
Fernando Andrade,@AndradeSierraAS,2021-03-05T20:25:44.000Z,"L¡ama la atención y preocupa, q' luego de más de 1 año de q' se conocieron noticias, sobre primeros enfermos de Covid-19, aún la industria farmacéutica no disponga de las medicinas q' curen los estadios graves de la enfernedad.Será q"" el negocio es la vacuna?"
Maria Cristina Salvador,@mcsalvador65,2021-03-05T20:24:31.000Z,"Nobleza obliga. La médica que murió por Covid en el Hospital Fernández, según explicó su director se había negado a recibir la vacuna hasta que no hubiera sido aprobada y salieran los resultados en Lancet. Luego si decidió hacerlo, fue tarde. 
No se puede entender, sí se puede"
PrimeraPlanaECU,@PrimeraPlanaECU,2021-03-05T20:23:31.000Z,"¿Crees que el Gobierno de Ecuador debe dar vía libre para que municipios compren la vacuna contra la Covid-19?con requisitos
sin requisitos
Definitivamente no
58 votos
·
23 horas restantes"
aroa,@aroaxlc,2021-03-05T20:22:26.000Z,"hay unos negacionistas del covid en mi vagón del tren, y están hablando d la vacuna, todo lo q están haciendo "
Gi,@Gisellheredia96,2021-03-05T20:21:41.000Z,Solo me duele un poquito mi bracito por la vacuna del COVID 
rossread,@rosarioread2,2021-03-05T20:20:49.000Z,"Ya papi y mami ambos de 67 años cada uno, inoculados con la primera dosis  de la vacuna contra el covid 19, excelente trabajo, muy organizado, #EstamosVacunando"
T,@Telefono_fucsia,2021-03-05T20:18:06.000Z,"No puedo más con el COVID, un año y todavía seguimos así. Han sacado la vacuna y van a dos por hora vacunando. Que desesperación."
Mountain Blue,@MntBlue,2021-03-05T20:17:40.000Z,"Día 131 del II estado de alarma por el #COVIDー19
(5/3/2021):

Estado de alarma
3.149.012 casos acumulados
6.654 nuevos casos
2,8%
 
637

#Coronavirus #Covid #Covid19 #Covid_19 #FelizViernes #StayHome
 #Vacuna #Vaccine #Vacunación #8M2021
 #WearAMask
 #Día354 #CovidDatos"
Usa la Mascarilla,@javidum,2021-03-05T20:16:44.000Z,Al final será cierto que se verán muchos cambios en la geopolitica de muchos países con eso del acceso a las Vacuna contra el Covid.
Ly,@lyannerijo,2021-03-05T20:13:00.000Z,El equipo médico que irá a mi trabajo a ponernos la vacuna contra el COVID-19 la ha pospuesto 3 veces... será una señal?
Esmeralda,@_EsmeRamirez_,2021-03-05T20:08:52.000Z,"Mi prima es enfermera, se encuentra en la primer línea de batalla, hace 6 meses su papá murió al contraer el virus Covid-19, casi un año después de iniciar la pandemia... ¡Hoy por fin recibe la vacuna!
No pude evitar llorar. "
SONRÍO,@sonrioFuck,2021-03-05T20:08:46.000Z,Ya eres vacuna de otro Covid.
EL ELEGIDO,@Elegido123_,2021-03-05T20:07:48.000Z,Ya eres vacuna de otro Covid.
AS News,@ASNewsMX,2021-03-05T20:00:16.000Z,"- Piden renta básica para que mujeres de países en desarrollo puedan sortear la pandemia
-Cuba inicia en La Habana ensayos de última fase de su candidata a vacuna anti-Covid
- AMLO propone que clases presenciales en Campeche se reanuden después de Semana Santa"
Alexa Ray ☆,@AlexaRay301,2021-03-05T19:59:18.000Z,"Pues ya me pusieron la condenada vacuna contra el Covid, no tuve reacciones alérgicas (hasta ahora). Sí chillé como marranito en matadero pero sólo unos 2 segundos y al menos la enfermera se dió una buena carcajada! Jajaja #CovidMeLaPela #ThankYouJesus #NoDuele #OdioLasAgujas"
Fran,@franalvarez211,2021-03-05T19:59:12.000Z,Hoy le han puesto a mi abuela la primera dosis de la vacuna contra el covid!!!!! 
SandraChao,@sandrapchao1,2021-03-05T19:58:29.000Z,Estoyyyyy felizzzz hoy me dijeron que me dieron la vacuna del covid y no el placebo!!!! 
JORGE ANDRES ESTRADA,@andresestradas,2021-03-05T19:55:42.000Z,"Urgente, Cepeda no necesita la vacuna contra el Covid sino contra la rabia."
Jessica,@JessicaVanegas9,2021-03-05T19:50:51.000Z,A los únicos que estoy envidiando en estos momentos es a todas esas personas que ya recibieron la vacuna contra el COVID 
Osvaldo N. Bercovich,@bercovichprop,2021-03-05T19:47:40.000Z,"EN LA ""PROVINCIA DE CORRIENTES"" A LOS JUBILADOS Y JUBILADAS DE 80 AÑOS O MAS LES VIENEN PROMETIENDO SEMANA A SEMANA LA VACUNA DEL COVID 19 PERO ""TODAS MENTIRAS"" SOLO JARABE DE PICO, QUE VERGUENZA !!! ILUSIONAN A GENTE GRANDE, HACIENDOLES UN DAÑO PSICOLOGICO Y FISICO IRREVERSIBLE"
Libre Acceso A.C.,@LibreAccesoAC,2021-03-05T19:45:32.000Z,"En la Ciudad de México aún faltan 10 Alcaldías en recibir la #vacuna contra la #COVID 
. 

La #accesibilidad es pilar a considerar en los próximos centros para la aplicación de la vacuna.

Incluso considerando las diversas posibilidades llegar a pie, en silla de ruedas,"
Luis Alexander G,@AlexanderBluff,2021-03-05T19:44:44.000Z,Hoy mi mamá recibió la segunda dosis de la vacuna contra el Covid 
horaweb,@horaweb,2021-03-05T19:41:59.000Z,"Que la gente muera de hambre por no poder trabajar, que muera de covid sin haberle provisto de la vacuna es contrario a la CN. El estado debe proveer el bienestar general.
Gobierno genocida!!"
