Nombre de usuario,Usuario,Fecha,Texto
MinSaludCol,@MinSaludCol,2020-11-10T23:22:50.000Z,"En #PrevenciónYAcción, el ministro 
@Fruizgomez
 entregó detalles de la estrategia que adelanta Colombia para la adquisición de la vacuna contra la COVID-19 y confirmó que su aplicación se hará de forma gratuita."
Presidencia Colombia,@infopresidencia,2020-11-10T22:59:55.000Z," #EnVivo | Avances de las medidas implementadas por el Gobierno Nacional para mitigar los efectos de la pandemia del covid-19. #PrevenciónyAcciónPresidencia Colombia
@infopresidencia
 #EnVivo | Avances de las medidas implementadas por el Gobierno Nacional para mitigar los efectos de la pandemia del covid-19. #PrevenciónyAcción
pscp.tv"
Gobernación del Meta,@GobMeta,2020-11-10T02:36:11.000Z,"Hoy recibimos 416 pruebas negativas de #Covid_19 y 109 positivas: V/cio 86, Pto Gaitán 6, Acacías 6, Granada 2, Castilla la Nueva 4, San Carlos de Guaroa 1, Restrepo 1, San Martín 2 y Vista Hermosa 1. Además, 281 recuperados, 15 hospitalizados y 57 personas en UCI."
Presidencia Colombia,@infopresidencia,2020-11-10T01:22:02.000Z,"#PrevenciónyAcción | ""Hoy se registran 183 fallecidos y les expresamos a las familias que han perdido a sus seres queridos, nuestra solidaridad y nuestro sentimiento de compañía en oración"" Presidente 
@IvanDuque"
Presidencia Colombia,@infopresidencia,2020-11-10T01:17:28.000Z,"En #PrevenciónyAcción el Presidente 
@IvanDuque
 informó que Colombia ha llegado hoy de manera acumulada a 5.451.307 pruebas realizadas, de las cuales los casos positivos acumulados a lo largo de la pandemia son 1.149.063."
MinSaludCol,@MinSaludCol,2020-11-10T00:24:04.000Z,"En #PrevenciónYAcción, desde la isla de San Andrés, el #ViceSalud, Luis Alexander Moscoso, explicó cuál es la afectación por COVID-19 que presenta la isla y los compromisos adquiridos por parte del Gobierno Nacional para apoyar a los sanandresanos."
Presidencia Colombia,@infopresidencia,2020-11-09T22:59:39.000Z," #EnVivo | Balance de las medidas implementadas por el Gobierno Nacional frente a la pandemia del covid-19 en el país. #PrevenciónyAcciónPresidencia Colombia
@infopresidencia
 #EnVivo | Balance de las medidas implementadas por el Gobierno Nacional frente a la pandemia del covid-19 en el país. #PrevenciónyAcción
pscp.tv"
MinSaludCol,@MinSaludCol,2020-11-07T00:18:21.000Z,"En #PrevenciónYAcción, el ministro 
@Fruizgomez
 explicó por qué Colombia decidió no exigir pruebas PCR para viajeros internacionales que ingresen al país."
Presidencia Colombia,@infopresidencia,2020-11-06T22:59:06.000Z," #EnVivo | Medidas de #PrevenciónyAcción implementadas por el Gobierno Nacional frente a la pandemia del covid-19 en el país.Presidencia Colombia
@infopresidencia
 #EnVivo | Medidas de #PrevenciónyAcción implementadas por el Gobierno Nacional frente a la pandemia del covid-19 en el país.
pscp.tv"
Gobernación del Meta,@GobMeta,2020-11-06T16:36:15.000Z," ¡Cuidarnos siempre es lo más importante! Los contagios por #Covid_19 siguen en aumento, por tu salud y la de quienes están a tu alrededor, cuídate.

Atiende de manera estricta las recomendaciones de autocuidado.
#NoBajemosLaGuardia"
Secretaría Seccional de Salud de Antioquia,@SaludAntioquia,2020-11-06T14:13:39.000Z,"Si te lavas las manos frecuentemente, puedes reducir el riesgo de contagio de la #COVID19 y de otras enfermedades respiratorias. 
#CuidarteEsCuidarnos"
Gobernación del Meta,@GobMeta,2020-11-06T03:12:53.000Z,"Recibimos 229 pruebas negativas de #Covid_19 y 169 positivas: V/cio 89, Granada 31, Pto Gaitán 6, Acacías 10, Castilla la Nueva 1, Cubarral 1, San Carlos de Guaroa 1, Mesetas 2, Cumaral 2, Guamal 5, El Castillo 1, Fuentedeoro 1, Restrepo 3, San Martín 6, Pto López 9 y Pto Rico 1."
MinSaludCol,@MinSaludCol,2020-11-06T00:03:04.000Z,"En #PrevenciónYAcción, el ministro 
@Fruizgomez
 entregó detalles de su primer día de visita al Guaviare, en donde visitó el Hospital El Retorno y el Hospital Departamental del Guaviare, que han venido fortaleciendo sus capacidades para la atención de pacientes con COVID-19.1:03
8,8 mil reproducciones"
Presidencia Colombia,@infopresidencia,2020-11-05T23:20:11.000Z,"#PrevenciónyAcción | ""El número de casos activos en Colombia es de 72.081, destacar que de todos los casos que hemos visto a lo largo de la pandemia el 94.6% ha estado atendido en casa, el 2.03% ha estado atendido en hospitalización y el 0.2% ha estado atendido en UCI"""
MinSaludCol,@MinSaludCol,2020-11-05T23:19:54.000Z,"El ministro 
@Fruizgomez
 visitó hoy el hospital del municipio El Retorno, Guaviare, en donde conversó con su talento humano en salud sobre los avances de la institución, el comportamiento de la pandemia en el municipio y en la región. #PrevenciónYAcción"
Presidencia Colombia,@infopresidencia,2020-11-05T22:58:56.000Z," #EnVivo | Avances de las medidas implementadas por el Gobierno Nacional para mitigar los efectos de la pandemia del covid-19 en el país. #PrevenciónyAcciónPresidencia Colombia
@infopresidencia
 #EnVivo | Avances de las medidas implementadas por el Gobierno Nacional para mitigar los efectos de la pandemia del covid-19 en el país. #PrevenciónyAcción
pscp.tv"
Supersalud,@Supersalud,2020-11-05T15:06:20.000Z,"No pongas en riesgo tu vida y la de las personas a tu alrededor, utiliza siempre el tapabocas y respeta los protocolos, evita contagiarte de #Covid_19. ¡El Autocuidado es #TareaDeTodos!"
MinSaludCol,@MinSaludCol,2020-11-05T00:29:09.000Z,"Las reuniones sociales, las aglomeraciones y la mezcla con bebidas embriagantes son actividades de muy alto riesgo de contagio de COVID-19. En #PrevenciónYAcción, el ministro 
@Fruizgomez
 explicó por qué."
MinSaludCol,@MinSaludCol,2020-11-05T00:28:31.000Z,"El ministro 
@Fruizgomez
 explicó las medidas que deberán adoptarse durante el tercer día sin IVA, que se realizará el próximo sábado 21 de noviembre en el país, así como algunas recomendaciones para la temporada de compras navideñas. #PrevenciónYAcción"
MinSaludCol,@MinSaludCol,2020-11-03T23:58:47.000Z,"En #PrevenciónYAcción, el ministro 
@Fruizgomez
 hizo un balance de la situación que registra Colombia y ciudades principales como Bogotá, Medellín, Cali, Barranquilla, en donde la velocidad de contagio viene presentándose a diferentes ritmos."
Presidencia Colombia,@infopresidencia,2020-11-03T23:48:43.000Z,"#PrevenciónyAcción | “Del total de casos registrados acumulados en Colombia, el 94.5% ha sido atendido en casa, el 2.08% ha tenido tratamiento de hospitalización y el 0.2% ha estado en Unidad de Cuidado Intensivo” Presidente 
@IvanDuque"
Presidencia Colombia,@infopresidencia,2020-11-03T23:48:42.000Z,"“Destacar que el número de casos activos en Colombia es de 71.165, aumenta el número de recuperados y por lo tanto el número de casos activos va disminuyendo” Presidente 
@IvanDuque
 en #PrevenciónyAcción"
Presidencia Colombia,@infopresidencia,2020-11-03T23:48:42.000Z,"En #PrevenciónyAcción el Presidente 
@IvanDuque
 informó que nuestro país llegó, de manera acumulada, a 5.164.326 pruebas realizadas, el número de casos positivos a la fecha es 1.099.392 y 993.877 recuperados que equivalen al 90.4%. Solo hoy se registraron 8.081 recuperados."
Presidencia Colombia,@infopresidencia,2020-11-03T22:59:49.000Z," #EnVivo | Balance de las medidas implementadas por el Gobierno Nacional frente a la pandemia del covid-19 en el país. #PrevenciónyAcciónPresidencia Colombia
@infopresidencia
 #EnVivo | Balance de las medidas implementadas por el Gobierno Nacional frente a la pandemia del covid-19 en el país. #PrevenciónyAcción
pscp.tv"
Gobernación del Meta,@GobMeta,2020-11-03T19:09:50.000Z,"Tras 9 meses sin atención al público debido a la pandemia por el #Covid_19, hoy la Secretaría de Derechos Humanos y Paz acompañó la reapertura del Punto de Atención a Víctimas, en el municipio de Granada."
Gobernación del Meta,@GobMeta,2020-11-03T18:41:55.000Z,"Por #Covid_19 en el Meta lamentablemente han fallecido 533 personas y 351 están en hospitalización. Las aglomeraciones en entornos laborales y las reuniones familiares son el foco de mayor contagio. 

¡Debemos seguir cuidándonos!
#EnElMetaNosCuidamos0:59
284 reproducciones"
Secretaría Seccional de Salud de Antioquia,@SaludAntioquia,2020-11-03T17:12:47.000Z,"Hoy lamentamos el fallecimiento del médico anestesiólogo Jesús Mauricio Gil Sánchez. Acompañamos en la distancia a su familia y amigos.
La #COVID19 es una realidad, por eso, insistimos en la importancia del autocuidado y la conciencia social para disminuir las cadenas de contagio"
Secretaría Seccional de Salud de Antioquia,@SaludAntioquia,2020-11-03T14:29:57.000Z,"“Hoy en Colombia la mejor prueba es la PCR, sin embargo, hay una adicional que ayuda mucho: la de antígeno y permite tener mejor oportunidad”, Leopoldo Giraldo, gerente para la contención de #COVID19 en Antioquia en #SuMédicoEnCasa por 
@Teleantioquia"
Secretaría Seccional de Salud de Antioquia,@SaludAntioquia,2020-11-03T14:22:53.000Z,"“No nos podemos confiar, no nos podemos relajar si tenemos síntomas, esta enfermedad se vuelve aguda en muy poco tiempo”, Leopoldo Giraldo, gerente para la contención de #COVID19 en Antioquia en #SuMédicoEnCasa por 
@Teleantioquia"
Secretaría Seccional de Salud de Antioquia,@SaludAntioquia,2020-11-03T14:21:51.000Z,"“Todos somos diferentes, los síntomas clásicos los tienen muchos, hay muy alta cantidad de pacientes asintomáticos que transmiten la enfermedad”, Leopoldo Giraldo, gerente para la contención de #COVID19 en Antioquia en #SuMédicoEnCasa por 
@Teleantioquia"
Secretaría Seccional de Salud de Antioquia,@SaludAntioquia,2020-11-03T14:18:15.000Z,"“El uso de las camas de UCI va creciendo, el paciente llega a los 12 o 15 días después de haberse contagiado”, Leopoldo Giraldo, gerente para la contención de #COVID19 en Antioquia en #SuMédicoEnCasa por 
@Teleantioquia"
