Nombre de usuario,Usuario,Fecha,Texto
María José,@Majopujadas,2021-03-05T23:19:49.000Z,"Mi mamá es la única pelotu2 que se anotó voluntariamente para ponerse la vacuna del COVID, siendo que es desempleada, nadie la obligó, practicamente no sale de su casa ni ve gente, no es trabajadora esencial y no es de riesgo tampoco. Un fav y renunció a ser su hija"
DiegoM,@DiegoM25567999,2021-03-05T23:19:16.000Z,Cada ves salen más casos de covid con vacuna y todo
Lucas Altamirano,@afurhes48,2021-03-05T23:18:35.000Z,"Yo sólo sé que cuando me toque agendarme, va vacuna contra el covid. Ya saben gente, por los veteranos y pa' que vuelva todo con público lo antes posible. Para que se termine toda ésta mierda de una vez"
URUGUAY PORQUE TODO SE SABE,@SNPTCLDYLVC,2021-03-05T23:17:09.000Z,Creo que la vacuna contra el covid-19 en breve será obligatoria. O serás un marginado.. le buscarán la vuelta para que te vacunes o te vacunes.. primer paso pasaporte sanitario.
Cyntia Macias,@cyntiamacias,2021-03-05T23:14:33.000Z,"Ebrard: vacuna Sinovac podrá aplicarse desde este fin en todo México.
El titular de la Secretaría de Relaciones Exteriores (SRE), Marcelo Ebrard, informó que a partir de este fin de semana la vacuna contra coronavirus o COVID-19 enviada de Hong Kong, Sinovac, podrá aplicarse"
Carlos Proaño Salmon,@charlygabrielps,2021-03-05T23:14:02.000Z,"Enterarse que abuelitas, abuelitos y familiares de tus compañeros de curso ya están recibiendo su vacuna contra el COVID y que lo suban a sus redes sociales llena de el corazón.Con Fe es la luz al final del túnel y que pronto volvamos a ser libres una vez más....GOTT MIT UNS !!!"
Don,@Diego_yYa,2021-03-05T23:11:38.000Z,"Les llegó vacuna pero no nos van a poner a los que ya nos dió covid.

Así nomás "
,@sofiasepulvedac,2021-03-05T23:10:45.000Z,El lunes empezarán a aplicar la vacuna del COVID en el pueblo donde viven mis abuelitos. 
𝑸𝒖𝒆𝒆𝒏 𝑩,@blueascc,2021-03-05T23:10:31.000Z,Ustedes se podrian la vacuna contra el covid ? ( es pa una tareAaa)
YANCOR,@hrdyncr,2021-03-05T23:08:14.000Z,"No les pasa que
 la vacuna del covid a mi mama la otra semana"
