Nombre de usuario,Usuario,Fecha,Texto
Carlos Arturo Ospina Vanegas,@CarlosA99231303,2020-12-21T23:54:40.000Z,Si nosotros compramos la vacuna directamente no morirá tanta gente el gobierno quiere demorarse para ir  vacunando hasta que muera la mitad de Colombia
Anvi,@IvannRodriguezn,2020-12-21T23:50:42.000Z,Colombia no puede negarle la vacuna a Venezolanos que estén aquí
Carlos Daniel Galvis,@carlosdgalvis,2020-12-21T23:42:45.000Z,"Después de escuchar al señor Presidente de la República 
@IvanDuque
 en su explicación metodológica de cómo proceder para la aplicación de la vacuna COVID-19, estoy convencido de que el gran líder del proceso en Colombia 
 es el. 
@AlvaroUribeVel
 @charoguerra
 @ernestomaciast"
Francesco Manetto,@fmanetto,2020-12-21T23:29:04.000Z,"Decenas, probablemente cientos de miles de personas no tendrán derecho a la vacuna contra la covid-19 en Colombia. Es la multitud de venezolanos no regularizados, que justo coinciden con los sectores más vulnerables de la población y dependen de la informalidad para subsistir."
Isabel III,@IssaCgv,2020-12-21T23:26:22.000Z,"Acabo de ver lo de Colombia con la exclusión de venezolanos a la vacuna  de Covid si no están legalmente. Es chimbito, pero las naciones cuentan con un presupuesto y ajá.  Ahora me imagino que los demás países pueden hacer lo mismo y es más chimbito aún."
ElCEOMamerto FabianOjeda,@FabianOjedaEmpr,2020-12-21T23:11:43.000Z,"Señor Presidente Ivan Duque Márquez 
@IvanDuque
 quiero explicarle de la manera más sencilla:

Si no vacuna a los venezolanos residentes en Colombia y empleados en la mayoría de comercios del país, el virus seguirá latente y el contagio NO PARARÁ!

Por otro lado, no sea xenófobo!"
C. Camilo Wilches,@Cristia79509929,2020-12-21T23:07:40.000Z,"A propósito de la nueva expresión de xenofobia (que en realidad es aporofobia porque donde Carolina Herrera estuviera en Colombia el mismísimo Presidente le pondría la vacuna a ella) del Presidente para con los venezolanos, quiero contar algo que me pasó ayer con un domiciliario"
Steeven.,@orozcosteeven,2020-12-21T22:58:48.000Z,"Lo siento pero la salud es un derecho universal, todos deberíamos tener derecho a esa vacuna, no importa si son de Venezuela, de Colombia o de Tangamandapio. Duque cada día peor que el anterior."
M. Claudia Alarcón,@MCAC_29,2020-12-21T22:17:20.000Z,"Ya me imagino los escenarios cuando empiecen a poner la vacuna aquí en Colombia. 
1.  Si se la ponen a la gente más pobre o la población vulnerable (ancianos). comentarios: quieren probar con el más pendejo los que no tienen Plata. Y beneficiar a los fondos de pensiones."
Amanda Páez,@amandaasubiar,2020-12-21T22:07:59.000Z,"Chile, el país de Latinoamérica en donde el dogma neoliberal castigaba mas a la salud. Colombia al “liberar” importación y venta de la vacuna de covid le gana. De todas formas los buitres se quedarán con las manos frotadas tras una proclama. No hay suficiente producción. Lacras."
