Nombre de usuario,Usuario,Fecha,Texto
Nicolás García Bustos,@nicolasgarciab,2021-03-07T15:16:05.000Z,"En Albán nos reunimos con todos los alcaldes de la provincia del Gualivá para hablar de los avances del Plan de Vacunación y hacer seguimiento a los programas de Plan de Desarrollo que no podemos  descuidar durante la atención de la pandemia.
#ATodaMarcha"
Secretaría de Salud,@salud_atlantico,2021-03-07T14:29:33.000Z,"Las vacunas contra el Covid-19 protegen, son #SegurasYEfectivas

Vacunarse es un paso que nos permitirá regresar a la normalidad y protege de enfermar gravemente o morir.

#AtlánticoConVida"
MinSaludCol,@MinSaludCol,2021-03-07T13:48:39.000Z,"En Mitú, Vaupés, el ministro 
@Fruizgomez
 y su equipo, revisaron de primera mano el proceso de vacunación en el territorio. 
 
Conoce detalles de su visita 
 http://bit.ly/3quDzn2"
Secretaría de Salud de Valle del Cauca,@secsaludvalle,2021-03-07T02:18:08.000Z,"ACTUALIZACIÓN 
 06/03/2021 Cifras COVID-19 en el Valle del Cauca."
Territorial de Salud de Caldas,@saluddecaldas,2021-03-07T02:03:55.000Z,"#ReporteCovid-19

Reportamos 44 nuevos casos en #Caldas y 1 persona fallecida por Covid-19 en La Dorada. Con esta cifra asciende a 46.095 los  confirmados."
Gobernación de Antioquia,@GobAntioquia,2021-03-07T01:40:37.000Z," Con 503 casos nuevos registrados, hoy el número de contagiados por COVID-19 en Antioquia se eleva a 347.819.
Medellín (257)
Bello (46)
Rionegro (29)
Envigado (27)
Itagüí (22)
Sabaneta (18)
La Estrella (13)
Girardota (11)
Caldas (10)
Marinilla (8)"
Claudia López,@ClaudiaLopez,2021-03-06T20:29:11.000Z,"Bogotá quiere contribuir al esfuerzo global de vacunación contra el coronavirus, por eso presentamos a 4 países y a 3 compañías farmacéuticas una propuesta formal para instalar la capacidad de producir vacunas en nuestra ciudad. 

#UnAñoSalvandoVidasBogotá propone montar centro de producción de vacunas COVID-19
Después de un año de superar retos, con la vacunación en marcha, la ciudad se alista para afrontar el segundo año de la emergencia. Radicó una ...
elespectador.com"
OPS/OMS Colombia,@OPSOMS_Col,2021-03-06T19:02:55.000Z,"#DiaInternacionalMujeres
 Asegure la participación de las mujeres en la toma de decisiones sobre la pandemia.
‍
#SaludParaTodos"
MinSaludCol,@MinSaludCol,2021-03-06T18:31:28.000Z,"En la concha acústica de Mitú, Vaupés, el ministro 
@Fruizgomez
 recorrió la ruta de vacunación dispuesta por el Hospital Departamental de San Antonio. Al 5 de marzo en el departamento, se han vacunado 2.761 habitantes."
Supersalud,@Supersalud,2021-03-06T17:58:28.000Z,El Superintendente Fabio Aristizábal realizó un recorrido por los puntos de vacunación habilitados en el Hospital de Fontibón para verificar cómo se implementa el Plan Nacional de Vacunación I #SeguimientoALasVacunas
MinSaludCol,@MinSaludCol,2021-03-06T17:43:48.000Z,"#JuntosFrenteAlCovid A un año del COVID-19, avances y resultados importantes han demostrado la capacidad de respuesta del Gobierno Nacional. 
Los detalles: http://bit.ly/2OxZrAE"
Secretaría de Salud de Valle del Cauca,@secsaludvalle,2021-03-06T17:41:10.000Z,"La lucha no ha sido únicamente contra el virus, quizás la batalla de las NOTICIAS FALSAS ha sido más difícil 
 

Recurre siempre a fuentes oficiales para infórmate bien y corta la cadena de la desinformación 
¡Dile SÍ a la vacunación!
#PorTiPorTodos "
Territorial de Salud de Caldas,@saluddecaldas,2021-03-07T15:02:15.000Z,"Colombia cuenta con un Plan Nacional de Vacunación que busca inmunizar en 2021 al menos a 35 millones de colombianos;en Caldas tenemos un gran reto en el que el compromiso de los ciudadanos es clave, aplicándose oportunamente las 2 dosis de estas vacunas en los tiempos"
Presidencia Colombia,@infopresidencia,2021-03-07T13:02:00.000Z,"La vacuna contra el covid-19 es segura y no presenta efectos secundarios graves. Como cualquier vacuna, puede causar dolor de cabeza leve, dolor en las articulaciones o fatiga, resfriado, fiebre o enrojecimiento en el lugar de la inyección. #ColombiaSeVacuna"
Ramiro Barragán,@RamiroBarraganA,2021-03-07T01:01:12.000Z,"Hoy, nos confirman 64 casos nuevos de covid-19 en Boyacá.

Sogamoso (20), Tunja (16), Duitama (10), Chiquinquirá (9), Cuítiva (2), Paipa (2), Puerto Boyacá (2) y un caso en Boavita, Iza y Soatá.

A la fecha en el Departamento hay 46.649 casos confirmados y 44.572 recuperados."
