Nombre de usuario,Usuario,Fecha,Texto
Lord Vader,@mantisreligioso,2020-12-13T14:07:37.000Z,NO VACUNARSE. #YoNoMeVacuno
@LordDarthVader,@LordDarthVader,2020-12-13T14:05:53.000Z,NO VACUNARSE. #YoNoMeVacuno
Cepo,@cepitadenaranja,2020-12-13T13:03:44.000Z,"Hashtag #yonomevacuno.

Sí, sí, ya te vimos."
Test chamber,@elblack2099,2020-12-13T12:58:40.000Z,"𝑶𝑰𝑮𝑨𝑵! 𝒀 𝑺𝑰 𝑯𝑨𝑪𝑬𝑴𝑶𝑺 𝑳𝑨         𝑷𝑶𝑺𝑨𝑫𝑨 𝑬𝑵 𝑼𝑵 𝑪𝑨𝑴𝑰𝑶𝑵? 𝑨𝑯𝑰 𝑵𝑶 𝑫𝑨 𝑪𝑶𝑽𝑰𝑫.

   ahi si podemos hacer monton!

#pandemia2020 
#YoNoMeVacuno 
#posada2020"
Osiris Saez Sanchez,@Usuaris,2020-12-13T10:49:52.000Z,El problema de que los subnormales piensen es que luego opinan como los  gilipollas de los #antivacunas #YoNoMeVacuno por poner un ejemplo o los del #TodosSonIguales o los #pabloiglesiasdimision
Karla Solis,@karliuxp,2020-12-13T03:46:40.000Z,"Les da miedo los efectos secundarios de la vacuna, pero ahí andan tomando cloro nomas xq la vecina se los recomendó... #YoNoMeVacuno"
Diane Cohn C,@DianeCohn68,2020-12-13T02:07:03.000Z,"Estamos en guerra quienes queremos conservarnos con valores y libertad contra quienes quieren deshumanizarnos.

#YoNoMeVacuno 
#LaLibertadEsLaUnicaVacuna"
Lord Vader,@mantisreligioso,2020-12-13T01:39:06.000Z,"Para twitter no se puede decir  ""VACUNA"". #YoNoMeVacuno"
Lord Vader,@mantisreligioso,2020-12-13T01:37:37.000Z,TWITTER Y SUS CENSURAS DE SÁBADO A LA NOCHE. #YoNoMeVacuno
Otrosubversivo,@otrosubversivo,2020-12-13T01:01:08.000Z,"Si me pongo la vacuna es la #Rusa a caso saben que todo lo de allá es bueno. La paja Rusa, la montaña Rusa, la ensalada Rusa. 

#VacunaCOVID19 
#YoNoMeVacuno 
#COVID19"
Carlos Honorio Mas Sushión,@HonorioMas,2020-12-13T00:16:38.000Z,Ojota con las vacunas que traen efectos albersos #YoNoMeVacuno
@LordDarthVader,@LordDarthVader,2020-12-12T22:09:39.000Z,"Dudo muchísimo de los números de supuestos contagiados. Estos hdp se babean con un ""rebrote"" y nueva KuarETERNA KaverníKola. A no creerles nada. CirKOVID terminado.
#YoNoMeVacuno"
Andres Felipe,@AndresPer8412,2020-12-12T16:59:37.000Z,Alguien que me explique racionalmente por qué es mejor esperar hasta Abril las vacunas a través de COVAX y no comprarlas directamente? #covax #covid #VacunaCOVID19 #YoNoMeVacuno
Patata Man,@guillot65985201,2020-12-12T16:10:34.000Z,"Que haya un hastag  q sea #YoNoMeVacuno,Es de coña,voy a hacer uno más sea #melasudasinotevacunasperonomerayescontusmonsergas"
YoVeré,@yo_vere,2020-12-12T15:40:53.000Z,Vacúnense rápido que me esta tallando la mascarilla. #YoNoMeVacuno
@LordDarthVader,@LordDarthVader,2020-12-12T10:52:47.000Z,LOS POLÍTICOS SON NUESTROS ENEMIGOS. #YoNoMeVacuno
@LordDarthVader,@LordDarthVader,2020-12-12T10:41:36.000Z,NO VACUNARSE. #YoNoMeVacuno
Boaz Glücksburg,@anticomunistas_,2020-12-12T04:21:35.000Z,"¿Qué vacuna te inspira más confianza?
#VacunaCOVID19 
#YoNoMeVacuno 
#YoMeVacunareSputnik
11,1 %
Moderna
22,2 %
Pfizer
55,6 %
AstraZeneca
11,1 %
9 votos
·
Resultados finales"
Julius Almeyda R,@AlmeydaJulius,2020-12-12T04:17:12.000Z,"Te lavaron el cerebro, haciendote creer que lavandote las manos 20 segundo estas libre del virus 
Y dime tu !! Que te lavaron mas?
#YoNoMeVacuno Wuhan #YoMeVacunare #ESPNF90"
