,Nombre de usuario,Usuario,Fecha,Texto
209,Supersalud,@Supersalud,2021-03-07,"@Supersalud
 visitó el Hospital Regional de Duitama para verificar el cumplimiento de las instrucciones previstas para el Plan Nacional de Vacunación y realizó recorrido al punto de extensión para vacunación Covid19 en el Hotel Hunza I #SeguimientoALasVacunas"
234,Secretaría de Desarrollo de la Salud - Córdoba.,@CordobaSalud,2021-03-07,"#BoletínCOVID19 Infórmate sobre los 5.795 vacunados, 81 nuevos positivos y 5 decesos por #COVID19 en el departamento de Córdoba. 
37.219 Total Positivos Pandemia
1.941 Fallecidos
34.870 Recuperados
1408 Casos Activos
 ¡No bajemos la guardia! 
#CórdobaSeVacuna"
320,Gobernación de Sucre,@GobSucre,2021-03-07,"En Sucre se registran 60 nuevos casos, 53 recuperados y 1 fallecido por covid-19.

Hasta la fecha la cifra total asciende a 20 494 casos positivos, 19 569 recuperados y 783 fallecidos. 

Es momento de intensificar las normas de autocuidado y ser más disciplinados."
302,MinSaludCol,@MinSaludCol,2021-03-07,"#JuntosFrenteAlCovid El 
@MinSaludCol
 puso en marcha el Plan Nacional de Vacunación
, de manera articulada con las entidades territoriales y en general con los actores de salud, logrando importantes avances en la vacunación de los colombianos."
338,Alcaldía de Bogotá,@Bogota,2021-03-07,"El Bosque El Abrazo es un espacio para conmemorar y valorar las vidas que hoy no están por la pandemia. No los olvidamos, los recordamos y en honor a ellos sembramos naturaleza, que crecerá, oxigenará el aire y reverdecerá la ciudad #UnAñoSalvandoVidas"
351,Alcaldía de Bogotá,@Bogota,2021-03-07,"Durante la pandemia hemos tenido picos de hasta 8.700 llamadas diarias a la Línea 123. Esta cantidad de solicitudes las hemos podido atender, gracias al aumento en el talento humano para la gestión de estas llamadas #UnAñoSalvandoVidas"
200,SecretaríaSaludCesar,@CesarSecSalud,2021-03-07,"#ReporteDiario reportamos 52 nuevos casos de Covid-19, procedentes de:
Valledupar 36
 Bosconia 6
Agustín Codazzi 2
Chimichagua 2
El Copey 2
El Paso 2
Astrea 1
 La Gloria 1"
354,Presidencia Colombia,@infopresidencia,2021-03-07,"En entrevista con 
@ELTIEMPO
, el Presidente 
@IvanDuque
 hizo un balance de las medidas implementadas por el Gobierno Nacional para mitigar el impacto social y económico de la pandemia del covid-19 en el país.‘Este 2021 esperamos una recuperación de la demanda interna’: Duque
El Presidente hizo un balance del impacto de las medidas que se tomaron por la pandemia.
eltiempo.com"
355,Alcaldía de Bogotá,@Bogota,2021-03-07,"Los pulmones no me daban, pero la asistencia médico fue fundamental para salir avante', dice Leonardo Osorio, paciente recuperado de COVID-19 en uno de los hospitales de la red pública de Bogotá 

Este es su agradecimiento para el personal de salud #UnAñoSalvandoVidas"
244,Presidencia Colombia,@infopresidencia,2021-03-07,"#JuntosFrenteAlCovid  | El 
@MinAgricultura
 durante la pandemia reinventó la estrategia #AgriculturaporContrato y creó #ElCampoAUnClic, iniciativa que ha permitido a productores agropecuarios cerrar acuerdos comerciales con plataformas de negocio a través de la virtualidad."
361,Alcaldía de Bogotá,@Bogota,2021-03-07,"Más de 32.000 pacientes han sido referenciados a camas de unidades de cuidado intensivo a lo largo de la pandemia, esto gracias a la ampliación de la capacidad UCI #UnAñoSalvandoVidas"
240,Alcaldía de Bogotá,@Bogota,2021-03-07,A pesar de la pandemia sumamos esfuerzos para generar las mejores oportunidades de educación para los jóvenes de Bogotá.   #UnAñoSalvandoVidas y el acceso a la educación
362,Secretaría Distrital de Salud,@SectorSalud,2021-03-07,"Los datos abiertos han sido una política de 
@SectorSalud
 que fortalece la transparencia, la democracia y la participación social. En #SaluData los ciudadanos han tenido al alcance de un clic la información oficial sobre el COVID-19 y 213 indicadores más. #UnAñoSalvandoVidas"
307,Gobernación de Santander,@GobdeSantander,2021-03-07,"Se informa a la comunidad que cada vez son más las personas que logran superar el COVID- 19 en el departamento. Este sábado 6 de marzo, 224 pacientes más se han recuperado del virus, para un total de 87.023 recuperados."
306,MinSaludCol,@MinSaludCol,2021-03-07,"Vacunarse y seguir las recomendaciones para protegerse y proteger a los demás, es indispensable para ayudar a reducir la propagación de la COVID-19. #YoMeVacuno"
245,Secretaría Distrital de Salud,@SectorSalud,2021-03-07,"A un año del primer caso de covid-19, así vamos:
 Este fin de semana finaliza vacunación del personal de la primera línea de atención en salud
 A partir del martes comenzamos a vacunar a la totalidad de mujeres y hombres mayores de 80 años de la ciudad

#UnAñoSalvandoVidas"
195,Presidencia Colombia,@infopresidencia,2021-03-07,"#JuntosFrenteAlCovid | En el marco de pandemia se puso en marcha la estrategia de Pruebas, Rastreo y Aislamiento Selectivo Sostenible (PRASS) como medida de transición para acelerar la reactivación económica."
299,gobernaciondelvaupes,@gobernavaupes,2021-03-07,"El Ministro 
@Fruizgomez
 visitó el punto de vacunación en la Concha Acústica, resaltando la labor realizada por parte de la Secretaría de Salud Departamental y la ESE Hospital San Antonio. ""Nos vamos con toda la información de lo que está pasando en el departamento"" finalizó."
314,Secretaría Seccional de Salud de Antioquia,@SaludAntioquia,2021-03-07,"Con 7.510 dosis aplicadas, Antioquia llega a 39.328 vacunados contra COVID19 
Del total del biológico suministrado hoy, 6.893 dosis se aplicaron en personal de salud de atención a la COVID19 
 y los 617 adicionales  en los adultos mayores de 80 años y más "
350,Secretaría Distrital de Salud,@SectorSalud,2021-03-07,"Bogotá tiene actualmente 12.211 casos activos de COVID-19. Compartimos el más reciente reporte con los contagios por localidades y más datos de interés 
.

En #SaluData encuentras toda la información oficial y actualizada sobre el coronavirus en la ciudad http://bit.ly/3dtPI5W"
337,Canal Institucional,@InstitucionalTV,2021-03-07,"#UnAñoDePandemia nos obligó a cambiar nuestra vida y a cuidarnos más que nunca. Así actuó Colombia para contrarrestar los efectos negativos del covid - 19 en materia de salud, economía y la preparación para el Plan Nacional de Vacunación.
: Presidencia de la República.3:28
19 reproducciones"
333,Gobernación de Cundinamarca,@CundinamarcaGob,2021-03-07,"#FelizDomingo
| El Gobernador 
@nicolasgarciab
 anunció que el departamento registra un 95% de aplicación de la vacuna contra el COVID-19, correspondiente a la primera fase del Plan Nacional de Vacunación. Todos los detalles en 
http://bit.ly/2OrBM4D"
332,Alcaldía de Bogotá,@Bogota,2021-03-07,"Él es Christian Calderón, chileno recuperado de COVID en una UCI de la 
@SubRedNorte
. 

'Colombia y el CAPS Chapinero me dieron otra oportunidad de vida', dice en medio de lágrimas #HistoriasQueInspiran #UnAñoSalvandoVidas"
219,Gob de La Guajira,@LAGUAJIRAGOB,2021-03-07,"Se confirman 19 nuevos casos de Covid-19 en La Guajira.

Riohacha: 6 casos
Maicao: 5 casos
Villanueva: 3 casos
San Juan Del Cesar: 2 casos
Albania: un casos
Barrancas: un caso
Hatonuevo: un caso"
221,Supersalud,@Supersalud,2021-03-07,"#SeguimientoALasVacunas | 
@Supersalud
 verificó el alistamiento de 
@SSaludBoyaca
, el desarrollo de la primera fase de Vacunación y la implementación del Programa PRASS y presentó al cierre recomendaciones a las autoridades para garantizar un óptimo manejo del antiviral"
222,gobernaciondelvaupes,@gobernavaupes,2021-03-07,"""Es fascinante comprender la medicina tradicional"" manifestó el Ministro de Salud 
@Fruizgomez
.  En esta reunión se abordaron los avances en salud en Vaupés y en la vacunación contra Covid-19. Se han aplicado el 55% de las 5212 dosis recibidas. 
#GestiónTrabajoProgreso"
334,Alcaldía de Bogotá,@Bogota,2021-03-07,"Así fue el homenaje solidario de 
@PoliciaBogota
 a quienes nos han dejado a causa del COVID-19. 

#UnAñoSalvandoVidas"
373,Gobernación de Santander,@GobdeSantander,2021-03-07,"Además, se reportan 117 nuevos contagios de COVID-19, los casos se encuentran en los municipios de: Barbosa (1), Bucaramanga (44), D. E. Barrancabermeja (10), El Carmen de Chucurí (1), Enciso (1), Floridablanca (13), Gámbita (1), Girón (7), Málaga (22), (hilo)"
239,Alcaldía de Bogotá,@Bogota,2021-03-07,"A un año del primer caso de covid-19, así vamos:
 Este fin de semana finaliza vacunación del personal de la primera línea de atención en salud
 A partir del martes comenzamos a vacunar a la totalidad de mujeres y hombres mayores de 80 años de la ciudad

#UnAñoSalvandoVidas"
298,Gobernación de Chocó,@GobChoco,2021-03-07,"Reporte Covid. Fecha:  06 de Marzo de 2021 Corte 7:00pm

Casos confirmados 6567
Casos activos10"
220,Gobernación de Antioquia,@GobAntioquia,2021-03-07," Hoy logramos aplicar 7.510 vacunas contra el COVID-19, el mayor avance desde que iniciamos el proceso de inmunización en Antioquia. Ya son 39.328 personas vacunadas. En esta fase protegemos a nuestros adultos mayores y a los GIGANTES de la salud.
#CuidarnosYVacunarnos"
194,Secretaría Seccional de Salud de Antioquia,@SaludAntioquia,2021-03-07,"Para ver el comportamiento del COVID-19 en el departamento de #Antioquia ingresa al siguiente enlace: https://bit.ly/2VQmebG 

Nuevos casos: 503
Medellín (257)
Bello (46)
Rionegro (29)
Envigado (27)
Itagüí (22)
Sabaneta (18)
La Estrella (13)
Girardota (11)"
2597,Alcaldía de Bogotá,@Bogota,2021-03-07,"Nuestro compromiso ha sido salvar vidas, con esfuerzo colectivo entre el sector privado y el Gobierno Nacional, aumentamos nuestra capacidad de la red hospitalaria, pasamos de 935 UCI a 2.437. #UnAñoSalvandoVidas"
183,Secretaría de Salud de Valle del Cauca,@secsaludvalle,2021-03-07,"ACTUALIZACIÓN 
 06/03/2021 Cifras COVID-19 en el Valle del Cauca."
319,Alcaldía de Bogotá,@Bogota,2021-03-07,"La pandemia no nos atrasó nuestros compromisos con el Nuevo Contrato Social y Ambiental, al contrario, aceleró cambios inevitables hacia la movilidad sostenible.

#UnAñoSalvandoVidas"
208,Gobernación de Antioquia,@GobAntioquia,2021-03-07," Con 503 casos nuevos registrados, hoy el número de contagiados por COVID-19 en Antioquia se eleva a 347.819.
Medellín (257)
Bello (46)
Rionegro (29)
Envigado (27)
Itagüí (22)
Sabaneta (18)
La Estrella (13)
Girardota (11)
Caldas (10)
Marinilla (8)"
345,Alcaldía de Bogotá,@Bogota,2021-03-07,"Ricardo Hernández es médico y también vivió en carne propia cómo es luchar en un hospital de Bogotá contra el COVID-19. Hoy, luego de estar recuperado, agradece y exalta a sus colegas de la salud por la atención que le brindaron #UnAñoSalvandoVidas"
372,Gobernación de Santander,@GobdeSantander,2021-03-07,"Si es de su interés estar al tanto de la información oficial sobre el Plan Nacional de Vacunación contra el COVID-19 en Colombia, ingrese al siguiente link: https://minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx…."
250,Presidencia Colombia,@infopresidencia,2021-03-07," #Noticia | Este sábado, a las 2:45 p.m., llegó al Aeropuerto El Dorado de Bogotá, el avión de la empresa KLM, procedente de Pekín, con 958.000 vacunas de Sinovac que reforzarán el Plan Nacional de Vacunación adelantado por el Gobierno Nacional.Este sábado llegaron al país 958.000 vacunas de Sinovac
Este sábado, a las 2 y 45 minutos de la tarde, tocó pista, en el Aeropuerto El Dorado de Bogotá, el avión de la empresa KLM, procedente de Pekín, con 958.000 vacunas de Sinovac que reforzarán el Plan...
idm.presidencia.gov.co"
287,Territorial de Salud de Caldas,@saluddecaldas,2021-03-07,"#ReporteCovid-19

Reportamos 44 nuevos casos en #Caldas y 1 persona fallecida por Covid-19 en La Dorada. Con esta cifra asciende a 46.095 los  confirmados."
269,Alcaldía de Bogotá,@Bogota,2021-03-07,"A un año de la pandemia del COVID-19, Bogotá cuenta con una red nueva de 84 kilómetros de bicicarriles.
Ahora con la Política Pública de la bici podremos fortalecer la calidad de los viajes y aumentar el número de biciusuarios. 
#UnAñoSalvandoVidasEl coronavirus y nuestro reencuentro con la bicicleta
En la pandemia Bogotá asumió el desafío de evolucionar para no estancarse y por ende la bicicleta pasó a ser la protagonista de la movilidad capitalina.
bogota.gov.co"
265,Alcaldía de Bogotá,@Bogota,2021-03-07,"Hace un año se conoció el primer caso de covid-19 en Bogotá, así fue como nos preparamos y enfrentamos este reto 
#UnAñoSalvandoVidas¿Cómo nos cambió la vida con la Alerta Amarilla y el Simulacro Vital?
Al cumplirse un año de la pandemia en Bogotá, se recuerda lo que significó en su momento para la ciudad decretar la Alerta amarilla y el Simulacro Vital.
bogota.gov.co"
2595,Alcaldía de Bogotá,@Bogota,2021-03-07,"#UnAñoSalvandoVidas, cambiando hábitos y cuidando el medio ambiente."
2596,Alcaldía de Bogotá,@Bogota,2021-03-07,"#UnAñoSalvandoVidas | La investigación social y las estrategias de cultura ciudadana fueron determinantes para cuidarnos y salvar vidas. 
El Subsecretario de Cultura Ciudadana, nos cuenta cómo se llevó a cabo la construcción de estrategias pedagógicas.“Lo mínimo que podemos hacer es agradecerle a la ciudadanía”: Murrain
La pedagogía y la cultura ciudadana nos cambio, y de la mano con los protocolos de bioseguridad, no hizo mejores bogotanos.
bogota.gov.co"
264,Gob de La Guajira,@LAGUAJIRAGOB,2021-03-07,"A la fecha se han notificado 16.324 casos de Covid-19 al sistema de vigilancia en salud pública de La Guajira, de los cuales 206 están activos."
374,Alcaldía de Bogotá,@Bogota,2021-03-07,"A un año de la pandemia el secretario de salud Alejandro Gómez, destaca los aprendizajes del sector salud y la acertada respuesta del Distrito ante la llegada del coronavirus.#UnAñoSalvandoVidas“La gran enseñanza es que la vida es irremplazable”: Secretario de Salud
A un año de pandemia, el secretario de Salud destaca los aprendizajes del sector salud y la acertada respuesta del Distrito ante la llegada del coronavirus
bogota.gov.co"
2598,Alcaldía de Bogotá,@Bogota,2021-03-07,"#UnAñoSalvandoVidas | Bogotá sacó su mejor cara, la solidaria y la de cuidado; no nos rendimos y en medio de la adversidad no renunciamos a nuestros sueños.2:26
3,1 mil reproducciones"
256,Gobernación de Antioquia,@GobAntioquia,2021-03-07," Antioquia tiene un porcentaje de ocupación de camas UCI de 70.62%
 Lamentamos el fallecimiento de 16 personas. Así la cifra total de muertes por COVID-19 en Antioquia asciende a 6.616.

Más información
https://cutt.ly/Azo2CRC"
378,Secretaría de Salud de Valle del Cauca,@secsaludvalle,2021-03-07,"Respondiendo a 
@memoreno1
 @ClaraLuzRoldan
 y 2 másBuenos días, deben actualizar los datos en la página web de la EPS y consultar en ‘Mi Vacuna’ la fase que les corresponde. Estar pendiente de la llamada de la entidad de salud para el agendamiento de la cita."
2599,Presidencia Colombia,@infopresidencia,2021-03-07,"#JuntosFrenteAlCovid | El campo le cumplió al país y fue gracias al esfuerzo de los productores agropecuarios y las iniciativas que puso a disposición el 
@MinAgricultura
 incluidas en la estrategia #JuntosPorElCampo, en la cual se inyectaron recursos por más de $250.000 millones."
292,Presidencia Colombia,@infopresidencia,2021-03-07,"La vacuna contra el covid-19 es segura y no presenta efectos secundarios graves. Como cualquier vacuna, puede causar dolor de cabeza leve, dolor en las articulaciones o fatiga, resfriado, fiebre o enrojecimiento en el lugar de la inyección. #ColombiaSeVacuna"
293,Ramiro Barragán,@RamiroBarraganA,2021-03-07,"Hoy, nos confirman 64 casos nuevos de covid-19 en Boyacá.

Sogamoso (20), Tunja (16), Duitama (10), Chiquinquirá (9), Cuítiva (2), Paipa (2), Puerto Boyacá (2) y un caso en Boavita, Iza y Soatá.

A la fecha en el Departamento hay 46.649 casos confirmados y 44.572 recuperados."
294,Presidencia Colombia,@infopresidencia,2021-03-07,"#JuntosFrenteAlCovid | En pandemia trabajamos en el #CONPESDeReactivación, una estrategia para activar el empleo, garantizar la vacunación de los colombianos, afianzar el apoyo a los hogares vulnerables y las empresas, y cerrar brechas de género, rurales y de ingresos."
291,Territorial de Salud de Caldas,@saluddecaldas,2021-03-07,"Colombia cuenta con un Plan Nacional de Vacunación que busca inmunizar en 2021 al menos a 35 millones de colombianos;en Caldas tenemos un gran reto en el que el compromiso de los ciudadanos es clave, aplicándose oportunamente las 2 dosis de estas vacunas en los tiempos"
284,Nicolás García Bustos,@nicolasgarciab,2021-03-07,"En Albán nos reunimos con todos los alcaldes de la provincia del Gualivá para hablar de los avances del Plan de Vacunación y hacer seguimiento a los programas de Plan de Desarrollo que no podemos  descuidar durante la atención de la pandemia.
#ATodaMarcha"
