,Unnamed: 0,Nombre de usuario,Usuario,Fecha,Texto,Sentimiento
0,0,Aurora Fuentes,@paysandusiempre,2021-03-06," No dejen de mirar número de casos positivos de ayer y número  en CTI.
992 Y 80

#YoMeQuedoEnCasa 
#YoMeVacuno",1
1,1,majo,@majoattacks,2021-03-06,"#YoMeVacuno y todos los adultos mayores de mi familia también lo harán 
 

Conversen con sus abuelitos. Nadie como los nietos para tratarlos con cariño, informando y aprendiendo juntos.",1
2,2,#YoApruebo,@xapahernandez,2021-03-06,"Hasta el Dalai Lama se vacunó, y todavía algunos le dan color #YoMeVacuno",1
3,3,"Ashishito
#MascarillaBienPuesta",@jorgeapolaya,2021-03-06,"#YoMeVacuno contra el terruqueo 
#YoMeVacuno contra la desinformación de 
@willaxtv
 
#YoMeVacuno contra el periodismo letrinoso de Ortiz",1
4,4,Jose Ragas,@joseragas,2021-03-06,"Lo que hace Willax no es libertad de expresión. Es una campaña deliberada de desinformación con el propósito de desestabilizar al Gobierno, sabotear la campaña de vacunación y poner en riesgo la salud de compatriotas para obtener beneficios políticos y económicos.

#YoMeVacuno ",1
5,5,Ferchu152,@ferchu152,2021-03-06,Me agendé. El martes recibo la primer dosis #YoMeVacuno,1
6,6,Daniel J. Angulo,@djangulo72,2021-03-06,Ya está hecho #YoMeVacuno!!! Juntos acabaremos con el #COVID19,1
7,7,Rossina Guerrero,@rossinagv,2021-03-06,"Muy bien ministra 
@VBermudezV
 @pcmperu
 muy clara y cumpliendo con defender el derecho a la vacunación y a la información basada en la evidencia.
#YoMeVacuno 
#WillaxVerguenzaNacional",1
8,8,Carlos Escaffi,@CarlosEscaffiR,2021-03-06,"#BuenasNoticias 
 supera hoy los 4 millones de vacunados! #Vacunas #YoMeVacuno #VamosQueSePuede",1
9,9,Francisca Mena,@frannkiska,2021-03-06,Me encanta el ministro Delgado. #weasquesoloamimeimportan jajajajajjajaja #YoMeVacuno,1
10,10,Norka Málaga,@norkicia,2021-03-06,Tienen la sinvergüencería de llamar terrorista a la izquierda y es la derecha la que hace terrorismo puro y duro! Date cuenta Perú!!! #BastaYa #YoMeVacuno #TerrorismoNuncaMas #WillaxVerguenzaNacional,1
11,11,Yolanda Reboreda,@yolandareboreda,2021-03-06,"Recibir un SMS del Sergas y que tu madre te diga que ya podrás ir a visitarla es muy 
 #YoMeVacuno #graciasgraciasgracias",1
12,12,Germán Barcala,@germanbarcala,2021-03-06,"Ya agendado para vacunarme
@ceu_uy
 
#YoMeVacuno",1
13,13,Nast,@Yevnov,2021-03-06,"Después de un año de pandemia, de ver la cantidad de personas enfermas y muertas a causa de la enfermedad que incluso se llevó a personas cercanas y de ver la clínica llena de casos graves, el hecho de recibir la vacuna definitivamente nos da un granito de esperanza
#YoMeVacuno",1
14,14,Arturo Rodriguez,@arturo2driguez,2021-03-06,"Su familiar mayor de 80 años ya fue vacunado?
#YoMeVacuno 
#ColombiaSí
No
De qué me hablas viejo
10 votos
·
22 horas restantes",1
15,15,Negritaa,@rrebolledo_,2021-03-06,"#YoMeVacuno 
@ministeriosalud
 solo se tienen que vacunar esta semanas las personas con las condiciones descritas en el calendario?, mi mama tiene 56 pero no tienen lo descrito, se puede vacunar? o debe esperar?",1
16,16,Médico In Valium,@MedicoInUtero,2021-03-06,"24 horas post vacuna COVID-19, una leve febricula ayer y amanecí ahora con artralgias y mialgias las cuales cedieron en intensidad al tomar 1gr de acetaminofen.

#YoMeVacuno",1
17,17,Manuel esteban,@Manuele40206871,2021-03-06,Claro ahora las familias tienen la culpa.. jaja...si salieron en Familia de vaca con el Permiso de Ustedes..INEPTOS.. !!!!#YoMeVacuno,1
18,18,Pancho Sandoval,@fcosandoval,2021-03-06,"Los genios del 
@ministeriosalud
 implementan el permiso de vacaciones, dan señales erradas, aumentan los contagios y adivinen quiénes son los culpables... #Basta #covid19chile #YoMeVacuno",1
19,19,Tam,@Foxyliicius,2021-03-06,"Cómo se van a mantener las condiciones sanitarias en el transporte público?!!! 
 #COVID19 
@DrEnriqueParis
 sdw #YoMeVacuno",1
20,20,Gustavo Gaye,@GustavoGaye,2021-03-06,Todavía quedan 68.000 dosis para la semana que viene #yomevacuno,1
21,21,Maya,@mayakhamis,2021-03-06,"La raja el vacunatorio móvil. Bien ahí.
#YoMeVacuno",1
22,22,Rodrigo,@simonmazzet,2021-03-06,Karla Rubilar habla como retando #YoMeVacuno,1
23,23,Vicho,@GArrendatario,2021-03-06,Callen a la Rubilar. #YoMeVacuno,1
