Nombre de usuario,Usuario,Fecha,Texto
Secretaría de Salud de Valle del Cauca,@secsaludvalle,2021-03-07T02:18:08.000Z,"ACTUALIZACIÓN 
 06/03/2021 Cifras COVID-19 en el Valle del Cauca."
Instituto Nacional de Salud,@INSColombia,2021-03-06T21:39:55.000Z,"Con solo #COVID-19 hemos manejado doce millones de registros y #Sivigila integró en su producción de datos de covid-19 la información de las bases de datos de afiliados,BDUA, Sismuestras y el RUAF. #OpenDataDay "
MinSaludCol,@MinSaludCol,2021-03-06T21:30:00.000Z,"#JuntosFrenteAlCovid Para la atención oportuna de pacientes afectados por la COVID-19, brindamos todo el apoyo necesario a los territorios, con ventiladores, monitores, equipos de Rayos X, bombas de infusión, camas UCI, camillas, desfibriladores y ecógrafos."
Presidencia Colombia,@infopresidencia,2021-03-06T21:29:46.000Z,"Este sábado, a las 2:45 p.m., llegaron al país 958.000 vacunas de la farmacéutica Sinovac, en un vuelo de la empresa aérea KLM, con ruta Pekín-Ámsterdam-Bogotá, lo que permitirá reforzar el Plan Nacional de Vacunación contra el covid-19. #JuntosFrenteAlCovid"
MinSaludCol,@MinSaludCol,2021-03-06T21:22:59.000Z,"#ReporteCOVID19 6 de marzo:

4.269 recuperados
3.663 nuevos casos
112 fallecidos

Muestras: 40.733
PCR: 25.899
Antígeno: 14.834

Total:

2.172.418 recuperados
2.273.245 casos 
60.412 fallecidos
11.695.919 muestras procesadas
33.203 casos activos

http://bit.ly/ReporteCovid19"
Gobernación del Huila,@HuilaGob,2021-03-06T16:44:03.000Z,"#HuilaCrece 
 
Se extiende hasta finales de mayo emergencia sanitaria en el #Huila 

La medida responde a lineamientos del Gobierno Nacional y al reto que implica el plan de vacunación. Las determinaciones se tomaron en Consejo Departamental para Gestión del Riesgo de Desastres."
MinSaludCol,@MinSaludCol,2021-03-06T16:21:10.000Z,"El 90% de la población de Mitú, en Vaupés, es de origen indígena. Hasta aquí llegó 
@MinSaludCol
 para verificar los avances del Plan Nacional de Vacunación, que cubre a 26 etnias que habitan en esta parte del cinturón amazónico."
Claudia López,@ClaudiaLopez,2021-03-06T15:45:07.000Z,"En honor a quienes nos dejaron a causa del coronavirus, creamos el Jardín de la Esperanza, en 
@SectorSalud
 y el Bosque El Abrazo, en la reserva Thomas Van Der Hammen; como símbolo de que su energía vital siempre estará con nosotros.

#UnAñoSalvandoVidas"
MinSaludCol,@MinSaludCol,2021-03-06T15:30:00.000Z,"#JuntosFrenteAlCovid Colombia
  fortaleció su capacidad asistencial para la atención de COVID-19, garantizando la atención de pacientes críticos en todo el país."
Claudia López,@ClaudiaLopez,2021-03-06T15:27:06.000Z,"La gran prioridad de 
@Bogota
 este año es vacunar por lo menos a 5.700.000 bogotanos para lograr la inmunidad de nuestra población.

Para este lunes todo el personal médico y asistencial de los 71 hospitales de Bogotá tendrán 100% su primera dosis de vacuna. 

#UnAñoSalvandoVidas"
Presidencia Colombia,@infopresidencia,2021-03-06T15:03:00.000Z,"#JuntosFrenteAlCovid | Durante el primer año de pandemia hemos apoyado a los colombianos más vulnerables. Destinamos $13, 6 billones en los programas sociales: ‘Familias en Acción’, ‘Jóvenes en Acción’, ‘Ingreso Solidario’, ‘Devolución del IVA’ y ‘Colombia Mayor’."
Secretaría Seccional de Salud de Antioquia,@SaludAntioquia,2021-03-07T00:57:28.000Z,"Para ver el comportamiento del COVID-19 en el departamento de #Antioquia ingresa al siguiente enlace: https://bit.ly/2VQmebG 

Nuevos casos: 503
Medellín (257)
Bello (46)
Rionegro (29)
Envigado (27)
Itagüí (22)
Sabaneta (18)
La Estrella (13)
Girardota (11)"
Presidencia Colombia,@infopresidencia,2021-03-07T00:01:00.000Z,"#JuntosFrenteAlCovid | En el marco de pandemia se puso en marcha la estrategia de Pruebas, Rastreo y Aislamiento Selectivo Sostenible (PRASS) como medida de transición para acelerar la reactivación económica."
Supersalud,@Supersalud,2021-03-06T23:44:32.000Z,"En Tunja, el Superintendente se reunió con la 
@SSaludBoyaca
, red prestadora y representantes de las #EPS para analizar el flujo de recursos y presentar el diagnóstico realizado por el equipo élite al programa de vacunación y PRASS en #Boyacá."
Claudia López,@ClaudiaLopez,2021-03-06T20:29:11.000Z,"Bogotá quiere contribuir al esfuerzo global de vacunación contra el coronavirus, por eso presentamos a 4 países y a 3 compañías farmacéuticas una propuesta formal para instalar la capacidad de producir vacunas en nuestra ciudad. 

#UnAñoSalvandoVidasBogotá propone montar centro de producción de vacunas COVID-19
Después de un año de superar retos, con la vacunación en marcha, la ciudad se alista para afrontar el segundo año de la emergencia. Radicó una ...
elespectador.com"
MinSaludCol,@MinSaludCol,2021-03-06T17:43:48.000Z,"#JuntosFrenteAlCovid A un año del COVID-19, avances y resultados importantes han demostrado la capacidad de respuesta del Gobierno Nacional. 
Los detalles: http://bit.ly/2OxZrAE"
Supersalud,@Supersalud,2021-03-06T17:15:31.000Z,"#JuntosFrenteAlCovid | Durante este año de pandemia por #COVID19, en la Supersalud se fortalecieron los canales de atención al usuario, incrementando el número de respuestas a la solicitudes realizadas por los ciudadanos."
Presidencia Colombia,@infopresidencia,2021-03-06T13:02:49.000Z,"#JuntosFrenteAlCovid | A un año de la pandemia por el covid-19, hoy somos más fuertes. Fortalecimos nuestro sistema de salud, estamos en la primera etapa del Plan Nacional de Vacunación, y nuestros profesionales de salud cuentan con las capacidades para atender a los colombianos."
SecretaríaSaludCesar,@CesarSecSalud,2021-03-06T03:32:46.000Z,"#ReporteDiariio reportamos 35 nuevos casos de Covid-19 procedentes de: 
Valledupar 21
Bosconia 8
Agustín Codazzi 3
Becerril 2
Gamarra 1"
Gobernación del Huila,@HuilaGob,2021-03-06T03:26:23.000Z,"41 casos de Covid19 se confirmaron hoy para el Huila

El acumulado departamental de resultados positivos llega a 49.931, de los cuales permanecen activos 341 casos.

La Sala de Análisis del Riesgo para el evento Covid19 confirma 41 casos en 8 municipios distribuidos así:"
Secretaría Seccional de Salud de Antioquia,@SaludAntioquia,2021-03-06T03:11:44.000Z,"Con 3.888 dosis aplicadas, Antioquia llega a 31.836 vacunados contra #COVID19.

Las más recientes dosis por municipio fueron: Medellín (1727), Bello  (148), Envigado  (333), Sabaneta  (12), Girardota  (28), Copacabana  (18), Caldas (42), Barbosa  (28), Itagüí  (154)."
Presidencia Colombia,@infopresidencia,2021-03-06T02:55:54.000Z," #Noticia | Este fin de semana llegarán a Colombia 1’505.880 vacunas de Sinovac, para continuar el Plan Nacional de Vacunación.Este fin de semana llegarán a Colombia 1’505.880 vacunas de Sinovac, para continuar el Plan...
Este fin de semana, en dos vuelos de pasajeros procedentes de Pekín, llegarán al país 1’505.880 biológicos de Sinovac, para reforzar el Plan Nacional de Vacunación adelantado por el Gobierno del...
idm.presidencia.gov.co"
Gobernación del Meta,@GobMeta,2021-03-06T02:19:09.000Z,"El Meta hoy no registra fallecidos. Recibimos 202 pruebas negativas de #Covid_19 y 35 positivas así: Villavicencio 30, Puerto Gaitán 2, Acacías 1, Cumaral 1 y San Carlos de Guaroa 1. 

Además, 53 recuperados y 37 en UCI."
SecretaríaSaludCesar,@CesarSecSalud,2021-03-07T01:45:18.000Z,"#ReporteDiario reportamos 52 nuevos casos de Covid-19, procedentes de:
Valledupar 36
 Bosconia 6
Agustín Codazzi 2
Chimichagua 2
El Copey 2
El Paso 2
Astrea 1
 La Gloria 1"
Presidencia Colombia,@infopresidencia,2021-03-06T23:01:00.000Z,"#JuntosFrenteAlCovid | A raíz de la pandemia aceleramos la implementación del Programa Devolución del IVA, llegando a un millón de hogares en 2020. Este año llegaremos a dos millones de familias con esta transferencia monetaria."
MinSaludCol,@MinSaludCol,2021-03-06T22:30:00.000Z,"#JuntosFrenteAlCovid Consulta las principales noticias
 registradas durante el primer año de la llegada de la COVID-19 a Colombia
 

 Ingresa a: http://bit.ly/BoletinesCovid19…"
Supersalud,@Supersalud,2021-03-06T17:19:36.000Z,"@Supersalud
 inspeccionó cuartos de almacenamiento de vacunas #Covid_19 de 
@SectorSalud
 y verificó cómo avanza el proceso de vacunación en #Bogotá I #SeguimientoALasVacunas"
Elsa Noguera,@elsanoguerabaq,2021-03-06T17:15:25.000Z,"Hace un año llegó el primer caso de contagio de #COVID19 a Colombia y claramente nos cambió la vida. Han sido tiempos difíciles, pero también de muchos aprendizajes que nos han llevado a entender que debemos seguir cuidándonos los unos a los otros. 

#AtlánticoConVida"
MinSaludCol,@MinSaludCol,2021-03-06T17:00:01.000Z,"#JuntosFrenteAlCovid 1 año de la llegada del COVID-19, y a pesar de las dificultades, nos hemos unido como país
 para protegernos, fortalecer nuestro sistema de salud, y hoy, estar ejecutando un plan de vacunación
 con el que superaremos el virus y saldremos adelante."
Clara Luz Roldán González,@ClaraLuzRoldan,2021-03-06T01:28:06.000Z,"Con satisfacción anuncio que por disposición de 
@MinSaludCol
, llegaron al departamento 10.410 dosis de vacunas anti COVID-19 de pfizer y  estamos a la espera de otras 5.000, para cubrir el 100% de trabajadores de la salud de primera linea de Cali, según reporte plataforma PISIS"
Instituto Nacional de Salud,@INSColombia,2021-03-06T01:14:13.000Z,"#INSTeCuenta Al cumplirse mañana #UnAñoDePandemia en Colombia, nuestra directora, Martha Ospina, resumió las cuatro líneas de trabajo del INS que han acompañado la respuesta técnica a la pandemia. Esto dijo en el programa presidencial #AcciónYPrevención "
