Nombre de usuario,Usuario,Fecha,Texto
judi,@Judi_Arenaluza,2021-03-06T02:58:42.000Z,"Vengo de mi cardio confieso que me topé con un amigo hoy, me dice ::viste la cosa se estan acomodando, que bueno don Papito, y me pregunta me vacuno? Y le dije haga lo que su conciencia le diga.  #YoNoMeVacuno"
Aerotiburon,@FREEEFALLLL,2021-03-06T02:45:30.000Z,#YoNoMeVacuno 11% y 33% de eficacia?..es cierto ? Por favor #gobiernoperuano ya diga la verdad. Desahuevense
@LordDarthVader,@LordDarthVader,2021-03-06T01:03:54.000Z,Hoy es viernes y mi #YoNoMeVacuno lo sabe
Lord Vader,@mantisreligioso,2021-03-06T01:03:05.000Z,Tengo muy en claro que #YoNoMeVacuno
El Melena,@melelaborde,2021-03-05T21:59:34.000Z,"No importa la Vacuna , de que laboratorio , el mecanismo de acción , etc .....IMPORTA VACUNARTE!!
No hay excusas!!!
#YoNoMeVacuno 
#vacunatePorVos 
#VacunatePorTodes"
Paloma,@Paloma251,2021-03-05T16:34:31.000Z,"Me comenta una persona que trabaja en el Zendal que sólo está yendo a vacunarse aproximadamente la mitad de los citados. Parece que, afortunadamente, no hay tanto ""borrego"" como nos quieren hacer creer.
#YoNoMeVacuno
#ProtestaEnMoncloa
#DesobedienciaCivil
#FuckNWO"
Azrael,@esp_Azrael,2021-03-05T13:48:46.000Z,"EL VIRUS CHINO + VACUNAS NEFASTAS = MUTACIÓN INGLESA, AFRICANA, BRASILEÑA, ETC

NO TE VACUNES Y NO MUTARA

 #YoNoMeVacuno"
Lord Vader,@mantisreligioso,2021-03-05T12:13:25.000Z,Recordemos que #YoNoMeVacuno
LetradaCabreada,@LetradaCabreada,2021-03-05T11:53:04.000Z,"El Gobierno Vasco autoriza las manifestaciones del 8 de marzo, pero su dictadura no nos deja decidir sobre nuestro cuerpo, obligándonos a llevar bozar, ni a movernos libremente en cualquier horario, ni a trabajar dignamente.
#NoAlBozal
#Libertad
#NoalNOM
#YoNoMeVacuno"
@LordDarthVader,@LordDarthVader,2021-03-05T10:30:11.000Z,"Viernes, y mi cuerpo lo sabe #YoNoMeVacuno"
CerealConLexheAlClima,@JuanAcevedo09,2021-03-05T02:20:57.000Z,"No han ni vacunado ni al 1% de la población y ya hay una enfermera que está que se muere de tanto que ha convulsionado después de recibir la primera dosis. #YoNoMeVacuno porque es apenas la punta de iceberg. 
@MinSaludCol
 van a aumentar enfermedades cardiacas y los linfomas!"
Pancho_WHO,@Pancho_Who,2021-03-05T02:20:47.000Z,"jajajaja han visto los covidiotas mostrando el carnet de la vacuna? #YoMeVacuno, como que fuera un logro? , el logro sera si no se enferman de otra cosa con esa vacuna. #YoNoMeVacuno"
Mabel de Uruguay,@mabeldeuruguay,2021-03-05T01:16:00.000Z,"#YoNoMeVacuno porque NADIE me lo va a imponer,ni obligar,es mi LIBERTAD de elección sobre mi cuerpo.
#YoNoMeVacuno
Que  me lluevan las críticas y alegatos,me resbalan, cómo  ratón en fuente de losa."
@LordDarthVader,@LordDarthVader,2021-03-05T01:10:13.000Z,Cansado y todo #YoNoMeVacuno
El gato que tuitea.,@Elgatoquetuitea,2021-03-04T19:01:51.000Z,"Por una parte me alegra que no haya vacunas; porque en realidad no solucionan nada.
#YoNoMeVacuno"
@LordDarthVader,@LordDarthVader,2021-03-04T02:16:51.000Z,También en la noche #YoNoMeVacuno
EL OJO QUE TODO LO VEZ.,@mispives,2021-03-03T23:11:40.000Z,"#YoNoMeVacuno 
#YoNoMeVacuno
Puedo estar asi todo el  Día.
Pero con estos dos es sufiente .
Otro más para finalizar mi rechazo la vacuna .
#YoNoMeVacuno ."
Libertad,@FuerzaDederecha,2021-03-03T21:48:48.000Z,"Para que vacunarme si tengo que pagar 60$ por el PCR para entrar a 
Vacunarme para seguir con el bozal tapa boca? 
Vacunarme para seguir con el aismamiento? 
Vacunarme para seguir distanciandome 1 mt?
#YoNoMeVacuno"
Francisco Quintana.,@Francis113650,2021-03-03T18:47:42.000Z,"#NoAlBozal #Plandemia #YoDonoMisDosis #YoNoMeVacuno Quiero ver la cara d toda esa gente cuando sepa que todo este tiempo despilfarreó dinero 
 en alcohol gel y mascarillas 
, todo eso para nada 
.#NadaSobra"
Flor en ciudad gótica,@plechitum,2021-03-03T18:36:09.000Z,"Pasaron de buchonear a quien rompía la cuarentena a marchar en contra de esta.
Pasaron de aplaudir médicos a acusarlos de cómplices del nuevo orden mundial.
Pasaron de querer vacunas a decir que es veneno. 
Pasaron de decir #YoNoMeVacuno a querer mas vacunas.
Tan bien del marote?"
Michal,@Michal14829584,2021-03-03T18:34:18.000Z,"Dedicado a todos los #Covidiotas #Borregos  déjarnos en paz a los que no queremos llevar mierda de pañal en la boca. Si no lo llevo mi problema,mi vida,mi salud y si #YoNoMeVacuno es mi problema también y iros a la mierda.Estoy harto de tanta gente idiota Que os den por culo."
LUCHO AK7,@LuchoAK7,2021-03-03T17:43:34.000Z,Aún venden alcohol y hasta dvd en los supermercados en etapa 1 del #PasoAPaso y las botillerías están cerradas . #YoMeVacuno y el de la botilleria dice que:  #YoNoMeVacuno andate a la chucha #PiñeraCTM...  . 
La Moon,@ChiquiLunaM,2021-03-03T17:03:18.000Z,¿Tiene afán de vacunarse? Le cedo la mía... Mi Fe está puesta en Dios y no en una inyección! #YoNoMeVacuno
VⒶn Doren,@SrVanDoren,2021-03-03T16:54:51.000Z,"Cuando leo ""La vacuna de AstraZeneca es tan eficaz como la de Pfizer"" Solo pienso en la lista de muertos que ya dejó el ""caldo"" Pfizer. #YoNoMeVacuno"
LetradaCabreada,@LetradaCabreada,2021-03-03T14:58:14.000Z,"Estas cansad@ de tu vida, piensas que es una mierda, tenemos la mejor solución para irte de manera rápida, vacunate, el NOM te lo agradecerá.
#NoAlBozal
#Libertad
#NoalNOM
#YoNoMeVacuno"
Campesino Wallmapu,@CWalmapu,2021-03-03T14:44:20.000Z,"La vacuna es una estafa. Si no inmuniza, ¿para qué sirve?

#YoNoMeVacuno"
Creuat ن,@Creuat_Tabarnia,2021-03-03T13:22:34.000Z,"El covidiano indignadísimo porque los medios oficialistas dicen que se han vacunado las infantas y por lo visto según la edad todavía no les tocaba...
Y ellos pidiendo la vacuna a berridos ! !
Cada día más surrealista todo...
JAJAJAJAJAJAJAJAJA
#YoNoMeVacuno"
thetrueisoutthere Parler: Oriasalways,@thetrueisoutth1,2021-03-03T03:13:16.000Z,Lo cierto es q la forma d pensar del rojo Sagasti es condenable x donde se le mire y también es verdad que todas las vacunas int. son EXPERIMENTALES.Por qué no apoyamos a la vacuna peruana!Todo el mundo se mecha x las otras y NADIE habla d la nuestra!Es inconcebible #YoNoMeVacuno
thetrueisoutthere Parler: Oriasalways,@thetrueisoutth1,2021-03-03T03:00:05.000Z,"Ojo, que se traigan las vacunas para los peruanos que se quieren vacunar, no para TODOS. #YoNoMeVacuno"
Sergio,@tri33s,2021-03-03T00:44:51.000Z,Lo de que se vacunen las infantas en Dubai otra patraña propagandista. Y habrá gente que se lo creerá #CoronaCirco #YoNoMeVacuno  #Plandemia
Lord Vader,@mantisreligioso,2021-03-02T16:23:01.000Z,"Vamos que el #YoNoMeVacuno sigue más firme que nunca. El #VacunaGateArgentina fue una operata para que te apliques ese veneno, creyendo que la bosta política se vacunó."
LetradaCabreada,@LetradaCabreada,2021-03-02T12:45:20.000Z,"De todas las aberraciones que vivimos por el coronacirco, una de las peores es la falta de relación entre las personas, sobre todo las que no tenemos despiertos en nuestro entorno físico, nos aíslan, nos deshumanizan, nos matan.
#NoAlBozal
#Libertad
#NoalNOM
#YoNoMeVacuno"
@LordDarthVader,@LordDarthVader,2021-03-02T00:46:28.000Z,Sin olvidarme que #YoNoMeVacuno
Azrael,@esp_Azrael,2021-03-01T20:42:13.000Z,#YoNoMeVacuno Porque esto es una #PlanDemia
Azrael,@esp_Azrael,2021-03-01T20:19:23.000Z,"Vivo en un País donde inyenta hacer una Dictadura, pero mí família aguanta firme porque #YoNoMeVacuno"
Davy Jones,@_Jormundgander,2021-03-01T16:34:18.000Z,"Todos a denunciar coronavirus uy en appstore y playstore
#YoNoMeVacuno"
Nosotros Somos las Noticias Ahora,@opinionescl,2021-03-01T16:30:53.000Z,"Maldito miserable gobierno titere de la OMS y ONU de nuevo van a poner cuarentenas que nadie cree por favor #ContigoCHV #Bienvenidos13 #BuenosDiasTVN #ProfeFlojo #GremioCuliao #PrensaBasura #YoNoMeVacuno #FalsaPandemia
#HuelgaGeneral5DeMarzo #ContigoCHV #Bienvenidos13"
Carlykiss,@YolandaMartnez9,2021-03-01T16:27:44.000Z,"Estan planteandose un carnet de vacunacion para toda la Union Europea.
Quienes no queramos vacunarnos, por miedo a este experimento: que hacemos?
Se estan pasando todos los DDHH, por el forro.
#yonomevacuno
#somoslaresistencia"
Nosotros Somos las Noticias Ahora,@opinionescl,2021-03-01T14:31:26.000Z,"Destacable los niños que volvieron a clases con sus padres que respetan las normas estupidas, pero en fin bien por el Pais bien por los profes NO flojos 
#ProfeFlojo #GremioCuliao #PrensaBasura #YoNoMeVacuno #FalsaPandemia #ProfesoresConHambre 
#HuelgaGeneral5DeMarzo #ContigoCHV"
Nosotros Somos las Noticias Ahora,@opinionescl,2021-03-01T14:27:57.000Z,"Profes flojos en 5 días le darán como combo que los contagios que los contagios que los contagios... que el paro que el paro  
#ProfeFlojo #GremioCuliao #PrensaBasura #YoNoMeVacuno #FalsaPandemia #ProfesoresConHambre 
#HuelgaGeneral5DeMarzo #ContigoCHV #Bienvenidos13"
Somos La Resistencia #SLR,@We_T_Resistance,2021-03-01T14:26:31.000Z,"Sabéis q en algunas residencias están diciendo a los ancianos q si se vacunan podrán ver a sus nietos?

Pues eso, chantaje y mentiras

#SLR #COVID19 #Plandemia #YoNoMeVacuno"
@LordDarthVader,@LordDarthVader,2021-03-01T14:08:15.000Z,El #VacunaGate es una opereta más de los perversos hdp que nos gobiernan. #YoNoMeVacuno
@LordDarthVader,@LordDarthVader,2021-03-01T12:40:56.000Z,Claro que se inicia Marzo sin olvidar el #YoNoMeVacuno
@LordDarthVader,@LordDarthVader,2021-03-01T03:28:41.000Z,Cerramos febrero con el #YoNoMeVacuno
Bibiana.MDQ #PobreMiArgentina,@BibianaViana,2021-02-28T20:59:20.000Z,"A pedido de un oyente x DM
voy a aclarar algo:
Mi participación #27F fue exclusivamente en contra #ElPeorGobiernoDeLaHistoria 
#QueSeVayanTodos 
#CFPresa
Nada tengo que ver con el tema Vacunas que repito: Ojalá se las hayan dado todos los que figuran.
#YoNoMeVacuno
#DonoMiDosis"
@LordDarthVader,@LordDarthVader,2021-02-28T13:48:32.000Z,"Siendo Domingo, el #YoNoMeVacuno no se toma descanso."
𝐆𝐮𝐚𝐝𝐚𝐥𝐮𝐩𝐞 𝐂𝐨𝐬𝐭𝐚,@GuadalupeCosta,2021-02-28T12:37:36.000Z,"Diciembre: “Experimenten entre ustedes, #YoNOmevacuno “

Febrero: “Chorros, me robaron mi vacuna #VacunadosVIP vamos a marchar”"
@LordDarthVader,@LordDarthVader,2021-02-28T03:57:22.000Z,"VaKunados Vip. Esperamos que el pinchazo, sea cual sea su procedencia, haga su trabajo de inmunizar a la Nación de parásitos como ustedes. #YoNoMeVacuno, con una basura gestionada por Isabelito epoK y su banda."
EL PUPA,@EZE_PUPILLO,2021-02-28T03:19:28.000Z,"Che no era que estaban en contra de la vacuna ? "" #YoNoMeVacuno ""  "
EL PELUSA 10,@MotonetaP,2021-02-27T23:01:09.000Z,"Cuántos habrán promulgado el #YoNoMeVacuno y ahora los ves reclamando por las vacunas , al final? Delirantes"
DANNY BORDER,@DannyBorderok,2021-02-27T22:53:31.000Z,"Hay algo que no entiendo, los que militan el Hashtag #VacunatorioVip no son los mismos que militaban el #YoNoMeVacuno ???? y además, el de #VacunatorioVip es por el de Ginés o por el de Larreta? esta gente me genera muchas confusiones."
feminati,@natikillah_,2021-02-27T21:29:47.000Z,"Diciembre 
 movilización en contra de la vacuna/infectadura/vacuna chip comunista/que se vacunen los k/ #yonomevacuno
Febrero 
 movilización por el acceso equitativo a la vacuna/queremos vacunarnos todos 
  "
Leopoldo Brandt M.,@LeopoldoBrandtM,2021-02-27T20:37:38.000Z,"Si la idea de 
@A3Noticias
 en su noticiero de hoy #27F enseñando a los sanitarios vacunados era motivar la vacunación, se notó que les escribieron lo que tenían que decir y lo que crearon fue muchas más dudas
#VirusChino #COVID19 
#YoNoMeVacuno #Plandemia"
Cynthia Cuesta.,@AngelAnswer,2021-02-27T19:22:11.000Z,#YoNoMeVacuno Ni mi madre de 80 que goza de perfecta salud! Estamos conscientes de que la vacuna mata! Abran los ojos! #BastaYa pandemia del demonio!
ARGENTINA HARTA(MARINA),@ArgentinaHarta,2021-02-27T17:40:02.000Z,"YO PREGUNTO..TODAVIA NADIE SE DIÓ CUENTA QE TODO ESTE CIRCO DEL VACUNATORIO VIP,TIENE UN OBJETIVO?LOGRAR QE NADIE DESCONFIE LO QE TIENE LA ""PSEUDO VACUNA""?EN SERIO ESTAN YENDO EN MANADAS A VACUNARSE?OK..LOS HDRMP,LOGRARON SU OBJETIVO!!
#YoNoMeVacuno YA SE QE NO VOY A PODER VIAJAR"
@LordDarthVader,@LordDarthVader,2021-02-27T12:39:44.000Z,Sábado y #YoNoMeVacuno
Lord Vader,@mantisreligioso,2021-02-27T09:02:57.000Z,Los Sábados también #YoNoMeVacuno
