Nombre de usuario,Usuario,Fecha,Texto
Aurora Fuentes,@paysandusiempre,2021-03-06T17:27:16.000Z," No dejen de mirar número de casos positivos de ayer y número  en CTI.
992 Y 80

#YoMeQuedoEnCasa 
#YoMeVacuno"
majo,@majoattacks,2021-03-06T17:22:27.000Z,"#YoMeVacuno y todos los adultos mayores de mi familia también lo harán 
 

Conversen con sus abuelitos. Nadie como los nietos para tratarlos con cariño, informando y aprendiendo juntos."
#YoApruebo,@xapahernandez,2021-03-06T17:13:20.000Z,"Hasta el Dalai Lama se vacunó, y todavía algunos le dan color #YoMeVacuno"
"Ashishito
#MascarillaBienPuesta",@jorgeapolaya,2021-03-06T17:00:58.000Z,"#YoMeVacuno contra el terruqueo 
#YoMeVacuno contra la desinformación de 
@willaxtv
 
#YoMeVacuno contra el periodismo letrinoso de Ortiz"
Jose Ragas,@joseragas,2021-03-06T17:00:23.000Z,"Lo que hace Willax no es libertad de expresión. Es una campaña deliberada de desinformación con el propósito de desestabilizar al Gobierno, sabotear la campaña de vacunación y poner en riesgo la salud de compatriotas para obtener beneficios políticos y económicos.

#YoMeVacuno "
Ferchu152,@ferchu152,2021-03-06T17:00:07.000Z,Me agendé. El martes recibo la primer dosis #YoMeVacuno
Daniel J. Angulo,@djangulo72,2021-03-06T16:50:46.000Z,Ya está hecho #YoMeVacuno!!! Juntos acabaremos con el #COVID19
Rossina Guerrero,@rossinagv,2021-03-06T16:46:18.000Z,"Muy bien ministra 
@VBermudezV
 @pcmperu
 muy clara y cumpliendo con defender el derecho a la vacunación y a la información basada en la evidencia.
#YoMeVacuno 
#WillaxVerguenzaNacional"
Carlos Escaffi,@CarlosEscaffiR,2021-03-06T16:35:56.000Z,"#BuenasNoticias 
 supera hoy los 4 millones de vacunados! #Vacunas #YoMeVacuno #VamosQueSePuede"
Francisca Mena,@frannkiska,2021-03-06T16:35:32.000Z,Me encanta el ministro Delgado. #weasquesoloamimeimportan jajajajajjajaja #YoMeVacuno
Norka Málaga,@norkicia,2021-03-06T16:35:13.000Z,Tienen la sinvergüencería de llamar terrorista a la izquierda y es la derecha la que hace terrorismo puro y duro! Date cuenta Perú!!! #BastaYa #YoMeVacuno #TerrorismoNuncaMas #WillaxVerguenzaNacional
Yolanda Reboreda,@yolandareboreda,2021-03-06T16:31:32.000Z,"Recibir un SMS del Sergas y que tu madre te diga que ya podrás ir a visitarla es muy 
 #YoMeVacuno #graciasgraciasgracias"
Germán Barcala,@germanbarcala,2021-03-06T16:19:13.000Z,"Ya agendado para vacunarme
@ceu_uy
 
#YoMeVacuno"
Nast,@Yevnov,2021-03-06T15:37:55.000Z,"Después de un año de pandemia, de ver la cantidad de personas enfermas y muertas a causa de la enfermedad que incluso se llevó a personas cercanas y de ver la clínica llena de casos graves, el hecho de recibir la vacuna definitivamente nos da un granito de esperanza
#YoMeVacuno"
Arturo Rodriguez,@arturo2driguez,2021-03-06T15:36:01.000Z,"Su familiar mayor de 80 años ya fue vacunado?
#YoMeVacuno 
#ColombiaSí
No
De qué me hablas viejo
10 votos
·
22 horas restantes"
Negritaa,@rrebolledo_,2021-03-06T15:16:44.000Z,"#YoMeVacuno 
@ministeriosalud
 solo se tienen que vacunar esta semanas las personas con las condiciones descritas en el calendario?, mi mama tiene 56 pero no tienen lo descrito, se puede vacunar? o debe esperar?"
Médico In Valium,@MedicoInUtero,2021-03-06T15:11:14.000Z,"24 horas post vacuna COVID-19, una leve febricula ayer y amanecí ahora con artralgias y mialgias las cuales cedieron en intensidad al tomar 1gr de acetaminofen.

#YoMeVacuno"
Manuel esteban,@Manuele40206871,2021-03-06T15:03:17.000Z,Claro ahora las familias tienen la culpa.. jaja...si salieron en Familia de vaca con el Permiso de Ustedes..INEPTOS.. !!!!#YoMeVacuno
Pancho Sandoval,@fcosandoval,2021-03-06T15:00:57.000Z,"Los genios del 
@ministeriosalud
 implementan el permiso de vacaciones, dan señales erradas, aumentan los contagios y adivinen quiénes son los culpables... #Basta #covid19chile #YoMeVacuno"
Tam,@Foxyliicius,2021-03-06T14:59:05.000Z,"Cómo se van a mantener las condiciones sanitarias en el transporte público?!!! 
 #COVID19 
@DrEnriqueParis
 sdw #YoMeVacuno"
Gustavo Gaye,@GustavoGaye,2021-03-06T14:58:04.000Z,Todavía quedan 68.000 dosis para la semana que viene #yomevacuno
Maya,@mayakhamis,2021-03-06T14:56:37.000Z,"La raja el vacunatorio móvil. Bien ahí.
#YoMeVacuno"
Rodrigo,@simonmazzet,2021-03-06T14:54:24.000Z,Karla Rubilar habla como retando #YoMeVacuno
Vicho,@GArrendatario,2021-03-06T14:54:13.000Z,Callen a la Rubilar. #YoMeVacuno
Rafael Vignoli,@VigRafa,2021-03-06T14:45:12.000Z,"En algún momento no muy lejano en nuestro país, los muertos por COVID-19 serán fundamentalmente los no vacunados. ¿Van a hacerse responsables de esas muertes los que hoy pregonan la no vacunación? #YoMeVacuno #UruguaySeVacuna"
GonzaloB,@Gonza2905,2021-03-06T14:44:39.000Z,"Bueno, ya estoy agendado para el miércoles 10, hora 10:00 para la primera dosis. El 7 de abril la segunda. Listo.
#YoMeVacuno #UruguaySeVacuna"
Daniela,@pasame_lasal,2021-03-06T14:31:06.000Z,"No te queres vacunar? Bárbaro, no te vacunes. Supongo que tampoco vas a querer viajar... 
 #YoMeVacuno"
Ruby Chagüi,@Rubychagui,2021-03-06T14:04:05.000Z,"Hace un año se conoció el primer caso de Covid-19 en el país, envío mi abrazo solidario a las familias de los 60.300 colombianos que ya no están con nosotros. Es necesario seguir garantizando el Plan de Vacunación y continuar respetando las medidas de bioseguridad. #YoMeVacuno"
Sr. Di Mamami Condori,@MiguelZuu,2021-03-06T13:33:51.000Z,Yo si me vacunaré #YoMeVacuno
Eduardo,@Eduardo03199510,2021-03-06T13:21:31.000Z,"#YoMeVacuno
Martes primera dosis.
Me siento afortunado, de los primeros en el mundo entero.
Gracias Uruguay, a su gente y a sus gobernantes."
antto || inactiva,@lFDDAENG,2021-03-06T12:44:14.000Z,"cachan que hoy era mi segunda dosis de la vacuna del covid y donde ando de vacaciones no lo hacen los fin de semana, así con su #YoMeVacuno que se puede realizar en cualquier lado 
@ministeriosalud"
