,Unnamed: 0,Unnamed: 0.1,Nombre de usuario,Usuario,Fecha,Texto,Sentimiento
0,0,0,Aurora Fuentes,@paysandusiempre,2021-03-06,dejen mirar numero casos positivos ayer numero cti 992 80,1
1,1,1,majo,@majoattacks,2021-03-06,adultos mayores familia tambien haran conversen abuelitos nadie nietos tratarlos carino informando aprendiendo juntos,1
2,2,2,#YoApruebo,@xapahernandez,2021-03-06,dalai lama vacuno todavia dan color,1
3,3,3,"Ashishito
#MascarillaBienPuesta",@jorgeapolaya,2021-03-06,terruqueo desinformacion willaxtv periodismo letrinoso ortiz,1
4,4,4,Jose Ragas,@joseragas,2021-03-06,hace willax libertad expresion campana deliberada desinformacion proposito desestabilizar gobierno sabotear campana vacunacion poner riesgo salud compatriotas obtener beneficios politicos economicos,1
5,5,5,Ferchu152,@ferchu152,2021-03-06,agende martes recibo primer dosis,1
6,6,6,Daniel J. Angulo,@djangulo72,2021-03-06,hecho juntos acabaremos,1
7,7,7,Rossina Guerrero,@rossinagv,2021-03-06,bien ministra vbermudezv pcmperu clara cumpliendo defender derecho vacunacion informacion basada evidencia,1
8,8,8,Carlos Escaffi,@CarlosEscaffiR,2021-03-06,supera hoy 4 millones vacunados,1
9,9,9,Francisca Mena,@frannkiska,2021-03-06,encanta ministro delgado jajajajajjajaja,1
10,10,10,Norka Málaga,@norkicia,2021-03-06,sinvergenceria llamar terrorista izquierda derecha hace terrorismo puro duro date cuenta peru,1
11,11,11,Yolanda Reboreda,@yolandareboreda,2021-03-06,recibir sms sergas madre diga podras ir visitarla,1
12,12,12,Germán Barcala,@germanbarcala,2021-03-06,agendado vacunarme ceuuy,1
13,13,13,Nast,@Yevnov,2021-03-06,despues ano pandemia ver cantidad personas enfermas muertas causa enfermedad incluso llevo personas cercanas ver clinica llena casos graves hecho recibir vacuna definitivamente da granito esperanza,1
14,14,14,Arturo Rodriguez,@arturo2driguez,2021-03-06,familiar mayor 80 anos vacunado hablas viejo 10 votos 22 horas restantes,1
15,15,15,Negritaa,@rrebolledo_,2021-03-06,ministeriosalud solo vacunar semanas personas condiciones descritas calendario mama 56 descrito puede vacunar debe esperar,1
16,16,16,Médico In Valium,@MedicoInUtero,2021-03-06,24 horas post vacuna covid19 leve febricula ayer amaneci ahora artralgias mialgias cuales cedieron intensidad tomar 1gr acetaminofen,1
17,17,17,Manuel esteban,@Manuele40206871,2021-03-06,claro ahora familias culpa jajasi salieron familia vaca permiso ustedesineptos,1
18,18,18,Pancho Sandoval,@fcosandoval,2021-03-06,genios ministeriosalud implementan permiso vacaciones dan senales erradas aumentan contagios adivinen culpables,1
19,19,19,Tam,@Foxyliicius,2021-03-06,van mantener condiciones sanitarias transporte publico drenriqueparis sdw,1
20,20,20,Gustavo Gaye,@GustavoGaye,2021-03-06,todavia quedan 68000 dosis semana viene,1
21,21,21,Maya,@mayakhamis,2021-03-06,raja vacunatorio movil bien ahi,1
22,22,22,Rodrigo,@simonmazzet,2021-03-06,karla rubilar habla retando,1
23,23,23,Vicho,@GArrendatario,2021-03-06,callen rubilar,1
24,24,24,Rafael Vignoli,@VigRafa,2021-03-06,algun momento lejano pais muertos covid19 seran fundamentalmente vacunados van hacerse responsables muertes hoy pregonan vacunacion,1
25,25,25,GonzaloB,@Gonza2905,2021-03-06,bueno agendado miercoles 10 hora 1000 primera dosis 7 abril segunda listo,1
26,26,26,Daniela,@pasame_lasal,2021-03-06,queres vacunar barbaro vacunes supongo tampoco vas querer viajar,1
27,27,27,Ruby Chagüi,@Rubychagui,2021-03-06,hace ano conocio primer caso covid19 pais envio abrazo solidario familias 60300 colombianos estan necesario seguir garantizando plan vacunacion continuar respetando medidas bioseguridad,1
28,28,28,Sr. Di Mamami Condori,@MiguelZuu,2021-03-06,si vacunare,1
29,29,29,Eduardo,@Eduardo03199510,2021-03-06,martes primera dosis siento afortunado primeros mundo entero gracias uruguay gente gobernantes,1
30,30,30,antto || inactiva,@lFDDAENG,2021-03-06,cachan hoy segunda dosis vacuna covid ando vacaciones hacen fin semana asi puede realizar cualquier lado ministeriosalud,1
31,31,31,CeciliaFuentesIcarte,@relatoscomunes,2021-03-06,kate pierson publico vacuno asi solo queda reporte remhq conmemorar 30 anos out of time corresponde,1
32,32,32,elioedel Gibert Quintana,@ElioedelQ,2021-03-06,seguimos adelante lucha acabar covid 19 esperanza vacuna,1
33,33,33,Angela,@anyi_vb,2021-03-06,vacunada,1
34,34,34,Laaus,@Laau_MS,2021-03-06,animo habeis puesto semanas 1 dosis vacuna ponen pronto tambien 24h sintomas volar vacunarse,1
35,35,35,One World no walls,@Pichulito,2021-03-06,tan vacunado vos tan indefensa,1
36,36,36,FERNWEH,@TimmyBurch2,2021-03-06,hastags tribuneo partido juega boludeces saber votaron,1
37,37,37,Abel Gilvonio,@abelgilvonio,2021-03-06,frente toda banda mafiosa delincuencial quiere bajarse gobierno transicion solo queda cerrar filas companeros defender presidente fsagasti seguir campana salvar vida millones peruanos viva prueblo peruano,1
38,38,38,Claudia Truccelli,@CTruccelli,2021-03-06,martes voy sinovac,1
39,39,39,Jime,@jimesaret,2021-03-06,buen dia vacunarse,1
40,40,40,Vane,@vanesolaa,2021-03-06,2a dosis vacuna covid puesta efectos secundarios pequena sensacion febricula dolor articular mejor intubada ninguna duda enfrmrasaturada,1
41,41,41,Jennie Goslino Biassini,@jemago62,2021-03-06,izquierda vacuno,1
42,42,42,Diego Costemalle,@CostemalleDiego,2021-03-06,escala 1 10 confiarias cientifico b politico c pit cnt dun terraplanista drsalle,1
43,43,43,Piece of Cake uy,@Pieceof48057522,2021-03-06,pasa siguen quedando vacunas apuro tanta queja siguen quedando miles dosis,1
44,44,44,Silvia Massi,@SilviaMassi1,2021-03-06,agendada martes vacuno,1
45,45,45,Dani,@Guante_De_Goma,2021-03-06,vacune ahora esperando segunda dosis,1
46,46,46,mariela.n,@marielanavasc,2021-03-06,hoy agende vacuno martes,1
47,47,47,Alejandro,@zapatatataa,2021-03-06,deberia ebrio viendo,1
48,48,48,Gonzalo Na_Cabro,@Na_Cabro,2021-03-06,si lee siguientes numeros ritmo usted vacunar 03 03 456 pdme robe fb perdi enlace sorry,1
49,49,49,Sebastián Marroni,@sebamarroni89,2021-03-06,inepto pugliainvita diciendo izquierda queremos vacunar vas politizar,1
50,50,50,Silvina,@SilvinaTeacher,2021-03-06,che si toca vacunarse hacen semana cae oferta apunta grupo vamos esperar convenzan,1
51,51,51,Ro Ocampo,@roxaocampo,2021-03-06,agendada vacuna,1
52,52,52,Δnd3r RyeS,@Bandr3s,2021-03-06,gente quiere tener titulo universitario gente quiere tener carnet vacunacion covid,1
53,53,53,Fernando Panizza,@FernandoPanizza,2021-03-06,agendado martes 9 manana,1
54,54,54,Sebastian Briones,@sebabriones,2021-03-06,21 poblacion primera dosis,1
55,55,55,Silvia,@Silvia68375851,2021-03-06,hijo primera dosispersonal esencialesposo agendado 10032021mi nuera esperando franjadesicion tomada momento 1en familiapor mipor tipor drdanielsalinas,1
56,56,56,Marita del mar Botero C,@Boteromarita,2021-03-06,noticiascaracol habla pandemia pasado muertes continuan personal salud sigue agotado gobierno sido insuficiente gestion aun vacuna vacios siguen mostrando 3 mundo,1
57,57,57,Enrique Baliño,@ebalino,2021-03-06,gente enemigo comun llama covid19 vamos vacunarnos amigos familias uruguayos ponerse celeste ganarle whatsapp 098 999 999 vamoooo,1
58,58,58,Consuelo,@con_j,2021-03-06,molesta mas gente quiere vacunarse inconscientes egoistas ignorantes saltan fila vacunarse mientras vacunen mejor,1
59,59,59,Jantoka,@jantoka,2021-03-06,obligacion gobierno proveer vacuna ningun esfuerzo humano favor trabajo ningun regalo pagada dinero cierto informacion bloqueo 5 anos,1
60,60,60,Fresia,@fresiasandra,2021-03-06,segunda dosis ok gracias,1
61,61,61,"Silmora,",@SilmoraUy,2021-03-06,toque,1
62,62,62,Pablo Martínez.,@Pablouruguay,2021-03-05,lunes tarde vacuno,1
63,63,63,SalvadorSchwartzmann,@S_Schwartzmann,2021-03-05,campana vacunacion masiva coronavirus alcanzo 4031812 vacunados sigamos cuidandonos turno,1
64,64,64,Ceci,@Ceciiii83,2021-03-05,feliz segunda dosis vacuna solo duele brazo mas influenza,1
65,65,65,Alfredo Martínez,@FredoalMartinez,2021-03-05,imaginan hermoso seria tiempo poder abrazarnos festejarlo festejar haberlo logrado ser primeros paises mundo lograr vacunar mayor parte poblacion,1
66,66,66,Una chica muy normal,@Lumosvevi,2021-03-05,corre venas,1
67,67,67,Rolando Manuel,@Rolando_Manuel,2021-03-05,toque quiere empezar ver final horror significado pandemia vacunas fin si comienzo alcanzar final tanta muerte paralisis social,1
68,68,68,gracielacassina,@gracecassina,2021-03-05,lunes,1
69,69,69,GobiernoAlerta,@GobiernoAlerta,2021-03-05,bio actualizada desdelamoncloa bienvenidos cuenta oficial twitter gobierno,1
70,70,70,Pia,@piastopia,2021-03-05,contentisima papas hora vacunarse,1
71,71,71,Mariana Margulis,@MarianaMarguli1,2021-03-05,tendencia llena orgullo 55 59 anos demos ejemplo drdanielsalinas,1
72,72,72,Tincho Tejera,@tincho_tejera,2021-03-05,obvio varios pelotudos quejaron demora vacunas llegaran iban ir manual solo romper huevos toque toque,1
73,73,73,Paciel Daniela,@PacielDaniela,2021-03-05,alcanz acon decir querias vacunas aca estan quiere lograr gente vacune pues campana publicitaria full referentes expliquen creen creen vacunan,1
74,74,74,@pizarraenblanco,@pizarraenblanco,2021-03-05,conocen cuento quinto piso bueno parece asi orientales in cre i ble,1
75,75,75,Gaston Nicolas Castillo,@GCastillo_uy,2021-03-05,hoy vacunarse mejor gesto hacia otroa podemos hacer corresponda segmento riesgo recomendacion medica haremos toca ser responsables cuidarnos todosas vamos ganamos,1
76,76,76,Cataldito,@aguscata,2021-03-05,baja vacunacion muestra cosas grieta politica quieren instaurar llega vacuna politice vacuna bloqueo,1
77,77,77,L a m a r c e w a l l e s,@MarcelawallesL,2021-03-05,vacuna,1
78,78,78,Luciano Paiva C.,@lucianopaivac,2021-03-05,madre tratamiento cancer 62 anos logramos ir dia vacunacion dia miercoles pasado puedo hacer vacuna agradezco ayuda,1
79,79,79,GobiernoAlerta,@GobiernoAlerta,2021-03-05,bio actualizada saludpublicaes cuenta oficial gobierno espana informacion interes ciudadania cuestiones salud publica,1
80,80,80,BrendaAlvarez,@alvabren,2021-03-05,papa queria vacunarse fake news acaba registrarse essaludperu emociona deja mas tranquila sigamos promoviendo vacunacion personas adultas mayores vacunas salvan vidas,1
81,81,81,Tiago Farias,@TiagoFarias65,2021-03-05,oficialmente recibido primera dosis pfizer,1
82,82,82,Pablo D. Dans,@DansPablo,2021-03-05,lugar propongo hashtag alternativo,1
83,83,83,SC,@SandraC27G,2021-03-05,hoy vacunaron puedo decir nunca pense gracias estare bien solo pense gracias dios podre atender pacientes podre ver familia amigos tener miedo terminen uci si ustedes,1
84,84,84,Irene Telias Hasson,@IreneTelias,2021-03-05,da pena drenriqueparis perdio compostura dignidad medico convirtio titere 2 piso,1
85,85,85,Luc@s24™,Luc@s24™,2021-03-05,listo 2 dosis laboratorio,1
86,86,86,Xenia Covarrubias,@xeniavcb,2021-03-05,verdad gobierno piensa joven 23 anos mas riesgo enfermar gravemente joven 18 enf cronica ultimos 6anos llevado hospitalizada 12 veces mayoria uci pdazan drenriqueparis sebastianpinera,1
87,87,87,Macarena Lizana,@Macalizanach,2021-03-05,alguien sabe algun centro vacunacion manana sabado,1
