,Unnamed: 0,Unnamed: 0.1,Nombre de usuario,Usuario,Fecha,Texto,Sentimiento
0,0,0,Aurora Fuentes,@paysandusiempre,2021-03-06,no dejen de mirar numero de casos positivos de ayer y numero en cti 992 y 80,1
1,1,1,majo,@majoattacks,2021-03-06,y todos los adultos mayores de mi familia tambien lo haran conversen con sus abuelitos nadie como los nietos para tratarlos con carino informando y aprendiendo juntos,1
2,2,2,#YoApruebo,@xapahernandez,2021-03-06,hasta el dalai lama se vacuno y todavia algunos le dan color,1
3,3,3,"Ashishito
#MascarillaBienPuesta",@jorgeapolaya,2021-03-06,contra el terruqueo contra la desinformacion de willaxtv contra el periodismo letrinoso de ortiz,1
4,4,4,Jose Ragas,@joseragas,2021-03-06,lo que hace willax no es libertad de expresion es una campana deliberada de desinformacion con el proposito de desestabilizar al gobierno sabotear la campana de vacunacion y poner en riesgo la salud de compatriotas para obtener beneficios politicos y economicos,1
5,5,5,Ferchu152,@ferchu152,2021-03-06,me agende el martes recibo la primer dosis,1
6,6,6,Daniel J. Angulo,@djangulo72,2021-03-06,ya esta hecho  juntos acabaremos con el,1
7,7,7,Rossina Guerrero,@rossinagv,2021-03-06,muy bien ministra vbermudezv pcmperu muy clara y cumpliendo con defender el derecho a la vacunacion y a la informacion basada en la evidencia,1
8,8,8,Carlos Escaffi,@CarlosEscaffiR,2021-03-06,supera hoy los 4 millones de vacunados,1
9,9,9,Francisca Mena,@frannkiska,2021-03-06,me encanta el ministro delgado jajajajajjajaja,1
10,10,10,Norka Málaga,@norkicia,2021-03-06,tienen la sinvergenceria de llamar terrorista a la izquierda y es la derecha la que hace terrorismo puro y duro date cuenta peru,1
11,11,11,Yolanda Reboreda,@yolandareboreda,2021-03-06,recibir un sms del sergas y que tu madre te diga que ya podras ir a visitarla es muy,1
12,12,12,Germán Barcala,@germanbarcala,2021-03-06,ya agendado para vacunarme ceuuy,1
13,13,13,Nast,@Yevnov,2021-03-06,despues de un ano de pandemia de ver la cantidad de personas enfermas y muertas a causa de la enfermedad que incluso se llevo a personas cercanas y de ver la clinica llena de casos graves el hecho de recibir la vacuna definitivamente nos da un granito de esperanza,1
14,14,14,Arturo Rodriguez,@arturo2driguez,2021-03-06,su familiar mayor de 80 anos ya fue vacunado no de que me hablas viejo 10 votos 22 horas restantes,1
15,15,15,Negritaa,@rrebolledo_,2021-03-06,ministeriosalud solo se tienen que vacunar esta semanas las personas con las condiciones descritas en el calendario mi mama tiene 56 pero no tienen lo descrito se puede vacunar o debe esperar,1
16,16,16,Médico In Valium,@MedicoInUtero,2021-03-06,24 horas post vacuna covid19 una leve febricula ayer y amaneci ahora con artralgias y mialgias las cuales cedieron en intensidad al tomar 1gr de acetaminofen,1
17,17,17,Manuel esteban,@Manuele40206871,2021-03-06,claro ahora las familias tienen la culpa jajasi salieron en familia de vaca con el permiso de ustedesineptos ,1
18,18,18,Pancho Sandoval,@fcosandoval,2021-03-06,los genios del ministeriosalud implementan el permiso de vacaciones dan senales erradas aumentan los contagios y adivinen quienes son los culpables,1
19,19,19,Tam,@Foxyliicius,2021-03-06,como se van a mantener las condiciones sanitarias en el transporte publico drenriqueparis sdw,1
20,20,20,Gustavo Gaye,@GustavoGaye,2021-03-06,todavia quedan 68000 dosis para la semana que viene,1
21,21,21,Maya,@mayakhamis,2021-03-06,la raja el vacunatorio movil bien ahi,1
22,22,22,Rodrigo,@simonmazzet,2021-03-06,karla rubilar habla como retando,1
23,23,23,Vicho,@GArrendatario,2021-03-06,callen a la rubilar,1
24,24,24,Rafael Vignoli,@VigRafa,2021-03-06,en algun momento no muy lejano en nuestro pais los muertos por covid19 seran fundamentalmente los no vacunados van a hacerse responsables de esas muertes los que hoy pregonan la no vacunacion,1
25,25,25,GonzaloB,@Gonza2905,2021-03-06,bueno ya estoy agendado para el miercoles 10 hora 1000 para la primera dosis el 7 de abril la segunda listo,1
26,26,26,Daniela,@pasame_lasal,2021-03-06,no te queres vacunar barbaro no te vacunes supongo que tampoco vas a querer viajar,1
27,27,27,Ruby Chagüi,@Rubychagui,2021-03-06,hace un ano se conocio el primer caso de covid19 en el pais envio mi abrazo solidario a las familias de los 60300 colombianos que ya no estan con nosotros es necesario seguir garantizando el plan de vacunacion y continuar respetando las medidas de bioseguridad,1
28,28,28,Sr. Di Mamami Condori,@MiguelZuu,2021-03-06,yo si me vacunare,1
29,29,29,Eduardo,@Eduardo03199510,2021-03-06,martes primera dosis me siento afortunado de los primeros en el mundo entero gracias uruguay a su gente y a sus gobernantes,1
30,30,30,antto || inactiva,@lFDDAENG,2021-03-06,cachan que hoy era mi segunda dosis de la vacuna del covid y donde ando de vacaciones no lo hacen los fin de semana asi con su que se puede realizar en cualquier lado ministeriosalud,1
31,31,31,CeciliaFuentesIcarte,@relatoscomunes,2021-03-06,kate pierson publico que se vacuno asi que solo me queda el reporte de remhq para conmemorar los 30 anos del out of time como corresponde,1
32,32,32,elioedel Gibert Quintana,@ElioedelQ,2021-03-06,seguimos adelante en la lucha para acabar con la covid 19 nuestra esperanza es la vacuna,1
33,33,33,Angela,@anyi_vb,2021-03-06,vacunada,1
34,34,34,Laaus,@Laau_MS,2021-03-06,mucho animo a todos los que os habeis puesto estas semanas la 1 dosis de la vacuna contra el y a los que os la ponen pronto tambien 24h de sintomas y a volar todos a vacunarse,1
35,35,35,One World no walls,@Pichulito,2021-03-06,yo tan vacunado y vos tan indefensa,1
36,36,36,FERNWEH,@TimmyBurch2,2021-03-06,todos los otros hastags son tribuneo el partido se juega en esto no en otra boludeces como saber a quien votaron,1
37,37,37,Abel Gilvonio,@abelgilvonio,2021-03-06,frente a toda esa banda mafiosa y delincuencial que quiere bajarse al gobierno de transicion solo queda cerrar filas companeros defender al presidente fsagasti y seguir con la campana para salvar la vida de millones de peruanos viva el prueblo peruano,1
38,38,38,Claudia Truccelli,@CTruccelli,2021-03-06,el martes voy por la sinovac,1
39,39,39,Jime,@jimesaret,2021-03-06,buen dia ya fueron a vacunarse,1
40,40,40,Vane,@vanesolaa,2021-03-06,2a dosis de la vacuna del covid puesta efectos secundarios pequena sensacion de febricula y dolor articular mejor que estar intubada sin ninguna duda enfrmrasaturada,1
41,41,41,Jennie Goslino Biassini,@jemago62,2021-03-06,soy de izquierda y me vacuno,1
42,42,42,Diego Costemalle,@CostemalleDiego,2021-03-06,en escala de 1 a 10 en quien confiarias a un cientifico b un politico c pit cnt dun terraplanista e drsalle,1
43,43,43,Piece of Cake uy,@Pieceof48057522,2021-03-06,que pasa que siguen quedando vacunas tanto apuro tanta queja y siguen quedando miles de dosis,1
44,44,44,Silvia Massi,@SilviaMassi1,2021-03-06,agendada el martes me vacuno,1
45,45,45,Dani,@Guante_De_Goma,2021-03-06,ya me vacune ahora estoy esperando segunda dosis,1
46,46,46,mariela.n,@marielanavasc,2021-03-06,hoy me agende me vacuno el martes,1
47,47,47,Alejandro,@zapatatataa,2021-03-06,deberia estar ebrio viendo yo soy,1
48,48,48,Gonzalo Na_Cabro,@Na_Cabro,2021-03-06,si lee los siguientes numeros con ritmo usted se tiene que vacunar 03 03 456 pdme lo robe de fb pero perdi el enlace sorry,1
49,49,49,Sebastián Marroni,@sebamarroni89,2021-03-06,el inepto de pugliainvita esta diciendo que los de izquierda no nos queremos vacunar todo vas a politizar,1
50,50,50,Silvina,@SilvinaTeacher,2021-03-06,che que si los que les toca vacunarse no lo hacen en una semana cae la oferta y se apunta a otro grupo no que vamos a esperar a que se convenzan,1
51,51,51,Ro Ocampo,@roxaocampo,2021-03-06,ya agendada para la vacuna,1
52,52,52,Δnd3r RyeS,@Bandr3s,2021-03-06,la gente ya no quiere tener un titulo universitario la gente quiere tener el carnet de la vacunacion covid,1
53,53,53,Fernando Panizza,@FernandoPanizza,2021-03-06,agendado para el martes 9 en la manana,1
54,54,54,Sebastian Briones,@sebabriones,2021-03-06,21 de la poblacion ya tiene su primera dosis,1
55,55,55,Silvia,@Silvia68375851,2021-03-06,hijo con primera dosispersonal esencialesposo agendado para el 10032021mi nuera y yo esperando nuestra franjadesicion tomada desde el momento 1en familiapor mipor tipor todos drdanielsalinas,1
56,56,56,Marita del mar Botero C,@Boteromarita,2021-03-06,porque noticiascaracol habla de la pandemia en pasado las muertes continuan el personal de la salud sigue agotado el gobierno ha sido insuficiente en su gestion aun con la vacuna los vacios siguen mostrando porque somos 3 mundo,1
57,57,57,Enrique Baliño,@ebalino,2021-03-06,gente tenemos un enemigo comun se llama covid19 vamos a vacunarnos por nosotros por nuestros amigos por nuestras familias por todos los uruguayos a ponerse la celeste y ganarle whatsapp 098 999 999 vamoooo,1
58,58,58,Consuelo,@con_j,2021-03-06,me molesta mas la gente que no quiere vacunarse porque son inconscientes egoistas e ignorantes que los que se saltan la fila para vacunarse mientras antes se vacunen todos mejor,1
59,59,59,Jantoka,@jantoka,2021-03-06,es obligacion del gobierno proveer la vacuna no es ningun esfuerzo sobre humano ni un favor es su trabajo y no es ningun regalo es pagada y con nuestro dinero por cierto esa informacion la bloqueo por 5 anos,1
60,60,60,Fresia,@fresiasandra,2021-03-06,segunda dosis ok gracias,1
61,61,61,"Silmora,",@SilmoraUy,2021-03-06,cuando me toque,1
62,62,62,Pablo Martínez.,@Pablouruguay,2021-03-05,lunes en la tarde me vacuno,1
63,63,63,SalvadorSchwartzmann,@S_Schwartzmann,2021-03-05,la campana de vacunacion masiva contra el coronavirus alcanzo las 4031812 vacunados sigamos cuidandonos y cuando sea tu turno,1
64,64,64,Ceci,@Ceciiii83,2021-03-05,feliz con mi segunda dosis de la vacuna solo me duele un poco el brazo pero no mas que con la de la influenza,1
65,65,65,Alfredo Martínez,@FredoalMartinez,2021-03-05,se imaginan que hermoso seria en poco tiempo poder abrazarnos y festejarlo festejar haberlo logrado ser de los primeros paises del mundo en lograr vacunar a la mayor parte de su poblacion,1
66,66,66,Una chica muy normal,@Lumosvevi,2021-03-05,corre por mis venas,1
67,67,67,Rolando Manuel,@Rolando_Manuel,2021-03-05,cuando me toque porque quiere empezar a ver el final de este horror que ha significado esta pandemia las vacunas no son el fin pero si el comienzo para alcanzar el final de tanta muerte y paralisis social,1
68,68,68,gracielacassina,@gracecassina,2021-03-05,el lunes,1
69,69,69,GobiernoAlerta,@GobiernoAlerta,2021-03-05,bio actualizada de desdelamoncloa  bienvenidos a la cuenta oficial en twitter del gobierno de ,1
70,70,70,Pia,@piastopia,2021-03-05,contentisima de que mis papas ya tienen hora para vacunarse,1
