,Nombre de usuario,Usuario,Fecha,Texto,Sentimiento
0,judi,@Judi_Arenaluza,2021-03-06,"Vengo de mi cardio confieso que me topé con un amigo hoy, me dice ::viste la cosa se estan acomodando, que bueno don Papito, y me pregunta me vacuno? Y le dije haga lo que su conciencia le diga.  #YoNoMeVacuno",0
1,Aerotiburon,@FREEEFALLLL,2021-03-06,#YoNoMeVacuno 11% y 33% de eficacia?..es cierto ? Por favor #gobiernoperuano ya diga la verdad. Desahuevense,0
2,@LordDarthVader,@LordDarthVader,2021-03-06,Hoy es viernes y mi #YoNoMeVacuno lo sabe,0
3,Lord Vader,@mantisreligioso,2021-03-06,Tengo muy en claro que #YoNoMeVacuno,0
4,El Melena,@melelaborde,2021-03-05,"No importa la Vacuna , de que laboratorio , el mecanismo de acción , etc .....IMPORTA VACUNARTE!!
No hay excusas!!!
#YoNoMeVacuno 
#vacunatePorVos 
#VacunatePorTodes",0
5,Paloma,@Paloma251,2021-03-05,"Me comenta una persona que trabaja en el Zendal que sólo está yendo a vacunarse aproximadamente la mitad de los citados. Parece que, afortunadamente, no hay tanto ""borrego"" como nos quieren hacer creer.
#YoNoMeVacuno
#ProtestaEnMoncloa
#DesobedienciaCivil
#FuckNWO",0
6,Azrael,@esp_Azrael,2021-03-05,"EL VIRUS CHINO + VACUNAS NEFASTAS = MUTACIÓN INGLESA, AFRICANA, BRASILEÑA, ETC

NO TE VACUNES Y NO MUTARA

 #YoNoMeVacuno",0
7,Lord Vader,@mantisreligioso,2021-03-05,Recordemos que #YoNoMeVacuno,0
8,LetradaCabreada,@LetradaCabreada,2021-03-05,"El Gobierno Vasco autoriza las manifestaciones del 8 de marzo, pero su dictadura no nos deja decidir sobre nuestro cuerpo, obligándonos a llevar bozar, ni a movernos libremente en cualquier horario, ni a trabajar dignamente.
#NoAlBozal
#Libertad
#NoalNOM
#YoNoMeVacuno",0
9,@LordDarthVader,@LordDarthVader,2021-03-05,"Viernes, y mi cuerpo lo sabe #YoNoMeVacuno",0
10,CerealConLexheAlClima,@JuanAcevedo09,2021-03-05,"No han ni vacunado ni al 1% de la población y ya hay una enfermera que está que se muere de tanto que ha convulsionado después de recibir la primera dosis. #YoNoMeVacuno porque es apenas la punta de iceberg. 
@MinSaludCol
 van a aumentar enfermedades cardiacas y los linfomas!",0
11,Pancho_WHO,@Pancho_Who,2021-03-05,"jajajaja han visto los covidiotas mostrando el carnet de la vacuna? #YoMeVacuno, como que fuera un logro? , el logro sera si no se enferman de otra cosa con esa vacuna. #YoNoMeVacuno",0
12,Mabel de Uruguay,@mabeldeuruguay,2021-03-05,"#YoNoMeVacuno porque NADIE me lo va a imponer,ni obligar,es mi LIBERTAD de elección sobre mi cuerpo.
#YoNoMeVacuno
Que  me lluevan las críticas y alegatos,me resbalan, cómo  ratón en fuente de losa.",0
13,@LordDarthVader,@LordDarthVader,2021-03-05,Cansado y todo #YoNoMeVacuno,0
14,El gato que tuitea.,@Elgatoquetuitea,2021-03-04,"Por una parte me alegra que no haya vacunas; porque en realidad no solucionan nada.
#YoNoMeVacuno",0
15,@LordDarthVader,@LordDarthVader,2021-03-04,También en la noche #YoNoMeVacuno,0
16,EL OJO QUE TODO LO VEZ.,@mispives,2021-03-03,"#YoNoMeVacuno 
#YoNoMeVacuno
Puedo estar asi todo el  Día.
Pero con estos dos es sufiente .
Otro más para finalizar mi rechazo la vacuna .
#YoNoMeVacuno .",0
17,Libertad,@FuerzaDederecha,2021-03-03,"Para que vacunarme si tengo que pagar 60$ por el PCR para entrar a 
Vacunarme para seguir con el bozal tapa boca? 
Vacunarme para seguir con el aismamiento? 
Vacunarme para seguir distanciandome 1 mt?
#YoNoMeVacuno",0
18,Francisco Quintana.,@Francis113650,2021-03-03,"#NoAlBozal #Plandemia #YoDonoMisDosis #YoNoMeVacuno Quiero ver la cara d toda esa gente cuando sepa que todo este tiempo despilfarreó dinero 
 en alcohol gel y mascarillas 
, todo eso para nada 
.#NadaSobra",0
19,Flor en ciudad gótica,@plechitum,2021-03-03,"Pasaron de buchonear a quien rompía la cuarentena a marchar en contra de esta.
Pasaron de aplaudir médicos a acusarlos de cómplices del nuevo orden mundial.
Pasaron de querer vacunas a decir que es veneno. 
Pasaron de decir #YoNoMeVacuno a querer mas vacunas.
Tan bien del marote?",0
20,Michal,@Michal14829584,2021-03-03,"Dedicado a todos los #Covidiotas #Borregos  déjarnos en paz a los que no queremos llevar mierda de pañal en la boca. Si no lo llevo mi problema,mi vida,mi salud y si #YoNoMeVacuno es mi problema también y iros a la mierda.Estoy harto de tanta gente idiota Que os den por culo.",0
21,LUCHO AK7,@LuchoAK7,2021-03-03,Aún venden alcohol y hasta dvd en los supermercados en etapa 1 del #PasoAPaso y las botillerías están cerradas . #YoMeVacuno y el de la botilleria dice que:  #YoNoMeVacuno andate a la chucha #PiñeraCTM...  . ,0
22,La Moon,@ChiquiLunaM,2021-03-03,¿Tiene afán de vacunarse? Le cedo la mía... Mi Fe está puesta en Dios y no en una inyección! #YoNoMeVacuno,0
23,VⒶn Doren,@SrVanDoren,2021-03-03,"Cuando leo ""La vacuna de AstraZeneca es tan eficaz como la de Pfizer"" Solo pienso en la lista de muertos que ya dejó el ""caldo"" Pfizer. #YoNoMeVacuno",0
