,Unnamed: 0,Nombre de usuario,Usuario,Fecha,Texto
0,0,Bautista Péntecost XY,@BautiPentecost,2021-01-27,vacunas matan gente estan diciendo
1,1,Némesis,@MaryBol95533136,2021-01-27,aplicadores anales nueva forma regimen chino someter gente deteccion virus pcch nueva forma tomar test vez recto exigimos claven primero izquierda comunista
2,2,S A N T I,@diluidoenagua,2021-01-27,encanta tanta gente diciendo asi si queremos va llegar mas rapido
3,3,moon:),@luuunaaaaaaaae,2021-01-27,mejor asi queremos vacunar hacemos mas rapido
4,4,Carlos.,@Carloscdc06,2021-01-27,coman mierda hptas
5,5,Casekage,@case11a,2021-01-27,disque si vacunar
6,6,Luisito Eliot,@luisitoeliot,2021-01-27,si enfermedad viene viene quedarse 2021 aun seguimos tratando h1n1 existen protocolos prevencion ciudadanos debemos cuidarnos cuidar resto cuarentena engano gobierno vacunarnos
7,7,Toño Veloz G.,@Antonioveloz,2021-01-27,dicen creen vacuna modificara adn aunque ustedes tan estupidos tal vez modificacion tan mala idea
8,8,Randy Marsh Epiayú,@touchandgo9,2021-01-27,gobierno inepto supo negociar ingles podido traer vacunas
9,9,Nathaly Priscila,@prsgp,2021-01-27,persona mensa ignorante empatia
10,10,Darianys Ochoa,@DarianysOchoa,2021-01-27,quiera pasa inservible presidente dado comprar vacunas
11,11,𝕾𝖆𝖒𝖆𝖓𝖙𝖍𝖆 𝖉𝖊 𝕸𝖎𝖓𝖌𝖔,@Samdarbal,2021-01-27,sida risa ht si tuvieramos vacuna aqui calculo apenas siguiente ano oportunidad comprarla nunca recibirla gratuita menos 40 pa abajo
12,12,Christian Unfried,@ChUnfried,2021-01-27,supongo hashtag promoviendolo uribestias justificar tener vacuna pais
13,13,Diego Badillo-Sanchez,@DiegoABadilloS,2021-01-27,encanta orgullo colombianos ganamos cara sello llega vacuna pais pues salimos incompetencia politicas publicas sino q asi decidimos
14,14,Sandra Sirhan,@SandraSirhan,2021-01-27,estan tan putrefactas pierre peluquier mejora pisan cola sola
15,15,Sandra Sirhan,@SandraSirhan,2021-01-27,mas horribles erizo arana q recaucho ojos pa ver mejor diarrea calle uso genero tonta podridas indignas comparable maldad mujer ciper izkia arana
16,16,@DNA_Mx,@DNA_Mx,2021-01-27,bueno menos pusieron chernobyl ii vacuna rusa ahi si madres
17,17,Retornado,@frases_retorno,2021-01-27,tiempo tiempo
18,18,Kelec -oh-,@KelecSir,2021-01-27,pais tendencia jajaja tontos
19,19,"Alter-Pop
|| Bendito coraje",@alasuroboro,2021-01-27,si implanta chip ruso solo espero putin llegue pronto tocar puerta iiiiuuuuuuuu
20,20,"Alter-Pop
|| Bendito coraje",@alasuroboro,2021-01-27,aok pues decian abuelos menos burros mas olotes
21,21,am,@am_espg,2021-01-27,cuidado vacuna rusa vayan inocular virus comunismo volvemos venezuela
22,22,EL TIO MAKARIOS,@MakariosTio,2021-01-27,saben mas gracioso ustedes decian virus existia ahora quieren vacunar vacuna muta virus jajajaja
