username,location,text
hosp_melipilla,"Melipilla, Chile","Agradecemos a todos los funcionarios que hoy se volvieron a comprometer con el proceso de vacunación y recibieron su segunda dosis contra el #Covid_19 👏👏👏

Juntos nos seguimos cuidando para darlo todo en el combate a esta pandemia que aún sigue presente 🏥❤️ #YoMeVacuno ✌️ https://t.co/jgO6DnXHYu"
HoyDiarioMag,"Santa Marta, Colombia","#NACIÓN | Colombia supera las 200.000 dosis aplicadas de la vacuna contra la covid-19
👉 https://t.co/aJtBtzFHDX https://t.co/KQza2kaWxH"
DansPablo,"Montevideo, Uruguay","En lugar de #YoMeVacuno, propongo el hashtag alternativo #LlamameMarta."
DamianAldeta,🇺🇾MENDA🇺🇾LERENDA🇺🇾,@compresidencia Saquen sus propias conclusiones #YoNoMeVacuno https://t.co/AF3AG6eM1V
zarteta,,Nos vacunamos en la primera oportunidad que tengamos de hacerlo. Todas las vacunas son seguras y eficaces. #YoMeVacuno https://t.co/xlpfSRofnd
Las2Orillas,,"Fue el primer acuerdo que firmó Colombia en octubre pasado y ya llegaron 117 mil dosis. El fondo se alimenta de donaciones de los países ricos

https://t.co/b5uQo00YrU"
SandraC27G,"Montería, Colombia","Hoy me vacunaron y les puedo decir que nunca pensé el ""gracias, estaré bien"" , yo solo pensé, gracias Dios, podre atender a mis pacientes, podré ver a mi familia y amigos sin tener miedo de que por mi terminen en una UCI #yomevacuno no por mi, si no por todos ustedes"
SSaludAtacama,,"#YoMeVacuno✌️

Compartimos calendario para la semana entre el lunes 8 y el domingo 14 de marzo, que incluye personas con comorbilidades y personas con discapacidad severa o profunda entre 46 y 59 años. 

Además se incorporan las segundas dosis de las personas ya inoculadas.👍 https://t.co/obIg7soQaT"
IreneTelias,,"Me da pena el @DrEnriqueParis perdió su compostura y su dignidad como médico y se convirtió en un títere del 2” piso, #YoMeVacuno"
SiemensHealthES,,#Colombia | ¡Ya está lista la #app para la vacunación en Colombia! La aplicación le permitirá a los colombianos sustentar y argumentar por qué podrían recibir la vacuna de manera prioritaria  https://t.co/tm9kCVpSMj https://t.co/VvSk3r6dRw
artugar24,,"La vertiginosa velocidad con que se está aplicando la vacuna contra el Covid19 en Colombia implica que todos habremos muerto antes de que nos toque el pinchazo, gran efectividad de funcionarios que no funcionan de este desgobierno."
IntendenciaRM,"Santiago, Chile","¿Cuántos vacunados hay en tu región y en 🇨🇱? Ingresa al Visor #YoMeVacuno y podrás encontrar toda la información respecto al proceso de vacunación en nuestro país
👉 https://t.co/kO41ZPi90p https://t.co/lekJLHCxwJ"
lanuevatvec,"Quito, Ecuador","#URGENTE 🔴
En la unidad de Cuidados Intensivos de la clínica del Cesar en #Colombia un médico especialista después de recibir la vacuna Pfizer contra el covid, pero días antes el medico ya presentaba síntomas de la enfermedad.
#somoslanuevatvec
#elcanaldelaselecciones https://t.co/9dJir0Fmxq"
GoberArauco,"André Bello 215, Lebu","#Cañete El Colegio Arturo Prat y Leoncio Araneda Figueroa, fueron los recintos a los que acudieron hoy por calendario Minsal a vacunarse de forma expedita los usuarios contra el Covid  quienes fueron recibidos por los funcionarios de la DAS y de la @seremidesaluda.
#yomevacuno https://t.co/uigGBNol4N"
hellenquin1980,Colombia,Llegó mi día. Estoy en el CEIP de Cali Colombia dispuesta y lista a participar en el estudio de la Vacuna CUREVAC. 50% probabilidad vacuna 50% placebo. 🤞🏻
DrLucasZ,"Santiago, Chile",Listo; 2 dosis #Coronavac de Laboratorio #Sinovac #YoMeVacuno #CoronaVaccine
CASANNOTICIAS,Yopal,"#Covid_19 | #Conversatorio
¿Cuáles son los mitos y las realidades de la vacuna contra el Covid-19? ¿A un año del primer caso del virus en Colombia cómo ha sido el balance en Casanare y en el país?
Acompáñanos hoy al conversatorio con expertos sobre el Covid-19, este a las 4:00 pm https://t.co/VWSryV5eBk"
LaJornadaco,,"🛑#ESNOTICIA🛑

Médico fue internado en UCI tras recibir vacuna contra COVID-19 en Colombia https://t.co/mJk25wfg4X Vía @LaJornadaco"
seremima15,Arica y Parinacota,"En Arica el proceso de vacunación este fin de semana no para. Infórmese e informe!!!
#YoMeVacuno 💉✌🏼
#CuidémonosEntreTodos 👍😷🤗 https://t.co/Uic2y01BvF"
MOPBiobio,Región del Biobío,"Desde #Hualpén continuamos monitoreando el proceso de vacunación 💉 masiva, priorizando segundas dosis, trabajadores de la educación y personas de 60 años 
#YoMeVacuno 
@gorebiobio @PatricioKuhn https://t.co/zC81VgSDbt"
SaludPublicaEs,Madrid,"Consulta el informe de actividad del proceso de vacunación frente al #COVID19 de hoy:

✔️Dosis distribuidas: 5.583.955
✔️Dosis administradas: 4.471.577

Desglosado por CC.AA. ⬇️
https://t.co/aQI0oiUO3p

Más información sobre #VacunaCOVID19 ⬇️
https://t.co/KfAhSNnQ6S

#YoMeVacuno https://t.co/KQYYcBCjq8"
WalterOFlores,"Lanus, Buenos Aires, Argentina","El veneno chino ha ingresado en mi cuerpo. LA FELICIDAD, AMIGUES.
#YoMeVacuno https://t.co/UU6sl2LPls"
alvezpat,,"@MarcelodelaF 👏👏 Yo también me vacuno, por mi, mi familia, mis amigos, por todos!!!!
El 09/03 estoy al firme!!!!
#YoMeVacuno"
xeniavcb,,En verdad el gobierno piensa que una joven de 23 años tiene más riesgo de enfermar gravemente que una joven de 18 con enf. crónica que en los últimos 6años la ha llevado a estar hospitalizada 12 veces en su mayoría en uci?#YoMeVacuno @pdazan @DrEnriqueParis @sebastianpinera
