Nombre de usuario,Usuario,Fecha,Texto
RadNaLlanos,@RadNaLlanos,2020-09-17T19:46:35.000Z,#Nacional En seis meses se conocerán los resultados de la vacuna que se aplicará en Colombia según lo dio a conocer el Ministerio de Salud.
Jorge Maya,@jamg511,2020-09-17T16:29:19.000Z,"DEBERÍAN PROBAR LA VACUNA RUSA PRIMERO EN LOS POLÍTICOS DE IZQUIERDA, SÍ SE SALVAN LA VACUNA ES BUENA, SI SE MUEREN SE SALVA COLOMBIA. !"
Diario La República,@larepublica_co,2020-09-17T15:08:52.000Z,"#19CongresoCooperativo | “Yo creo que nos tocará estar en sistemas semipresenciales o semivirtuales hasta que se encuentre la vacuna”, Sergio Diaz Granados, director del BID para Colombia y Perú"
buho ™,@buho_media,2020-09-17T13:27:06.000Z,"#Alertasbuho #COVID_19 17/09

1. Colombia fue uno de los países más afectados por la pandemia en el mes de agosto .
@ELTIEMPO
 

2. 
@MinSaludCol
 anuncia que el país logro un acuerdo con el mecanismo COVAX para acceder de manera equitativa a la vacuna
 .
@Fruizgomez
 .
@WRadioColombia"
Esperanza Rico Laverde,@EsperanzaRicoL,2020-09-17T10:50:31.000Z,El MinSalud dijo que en seis meses se conocerían los resultados de la vacuna contra el covid que se aplicará en Colombia.
albertocamacho,@alberto77711,2020-09-16T19:39:00.000Z,Por que la prueba de la vacuna covid 19 en Colombia es gratis y en estados únidos pagan 2.000 dólares a los voluntarios
Alejandro,@alejandroha21,2020-09-16T18:22:16.000Z,"La vacuna la deberían probar el Centro democrático y la colombia humana. Si se salvan, la vacuna es buena. Si se mueren, el país se salva."
glorialopez49,@glorialopez49,2020-09-16T13:24:05.000Z,#Coronavirus Entonces Colombia y el mundo les va a comprar la vacuna a los chinos?  Nos rompieron las piernas y luego nos venden las muletas?
QuijoteVe,@QuijoteVe,2020-09-16T02:44:50.000Z,"Escuálidos no sigan cayendo en el juego de la derecha 

No quieren que te vacunes para ellos robarse esa vacuna pasarla a Colombia y venderla a buen precio"
Sebastian Ruiz Gómez,@ElGatoDePoe,2020-09-16T01:03:51.000Z,"En Colombia se empieza a emprender y toca pagar todo lo legalmente para estar en regla y poder abrie el negocio. Pero apenas se abre toca pagar hasta vacuna y no hay policía, ni nada que lo evite. 
¿Cómo se hace para poder vivir tranquilo en este moridero?"
Monet,@paleocromos,2020-09-15T20:27:33.000Z,"Listo ya comenzaron los acuerdos de ""paz"" en medio oriente

faltan:
- votaciones en noviembre 3
- la vacuna del virus
- elecciones en colombia pero hasta el 22
- firma de tratado de paz de 7 años en israel"
El Axioma,@Elaxioma_com,2020-09-15T18:15:00.000Z,"#15sep| #Colombia 
@invimacolombia
 autoriza reclutamiento de voluntarios para estudio de vacuna
@MinDefensa
 habló sobre el uso de armas en las protestas
Denuncian aumento de inseguridad en #Cali
Gobernadora del Valle de Cauca,
@ClaraLuzRoldan
, fue diagnosticada con cáncerLas noticias de Colombia más importantes
elaxioma.com"
Emma Claudia Castellanos,@EmmaClaudiaC,2020-09-15T15:28:37.000Z,"Excelente que Colombia tome la delantera en Latinoamérica en aportes a la vacuna contra el #covid19. El 
@invimacolombia
 autorizó el reclutamiento de voluntarios para la fase 3 de la vacuna de Johnson & Johnson.
 
Siempre serán buenas noticias los avances contra el virus."
Santiago López,@SLopezx2,2020-09-15T15:22:18.000Z,"En Colombia no le van a pagar a los voluntarios de la vacuna, por una regulación del 
@invimacolombia
 

De verdad que regulaciones tan chimbas las de aquí. Por eso es que siempre nos ven la cara."
Llanera.com,@llaneracom,2020-09-15T13:02:44.000Z,Colombia ya tiene fecha para reclutamiento de voluntarios para vacuna COVID.
Erik Nieves,@Erick_Nieves,2020-09-15T12:45:41.000Z,"Para los noticieros prepagos 
@NoticiasCaracol
 y 
@NoticiasRCN
 el #COVID19 desapareció en Colombia con las protestas, ya no se necesita vacuna, ni q la gente se cuide, ahora el 99% de las noticias son los desórdenes de Bogota. Editoriales a la orden de intereses particulares"
El Axioma,@Elaxioma_com,2020-09-15T12:13:15.000Z,"#15sep| #Colombia 
@invimacolombia
 autoriza reclutamiento de voluntarios para estudio de vacuna
@MinDefensa
 habló sobre el uso de armas en las protestas
Denuncian aumento de inseguridad en #Cali
Gobernadora del Valle de Cauca,
@ClaraLuzRoldan
, fue diagnosticada con cáncerLas noticias de Colombia más importantes
elaxioma.com"
