,Unnamed: 0,Unnamed: 0.1,Nombre de usuario,Usuario,Fecha,Texto,Sentimiento
0,0,0,Aurora Fuentes,@paysandusiempre,2021-03-06,dejen mirar numero casos positivos ayer numero cti992,1
1,1,1,majo,@majoattacks,2021-03-06,adultos mayores familia tambien haran conversen abuelitos nadie nietos tratarlos carino informando aprendiendo juntos,1
2,2,2,#YoApruebo,@xapahernandez,2021-03-06,dalai lama vacuno todavia dan color,1
3,3,3,"Ashishito
#MascarillaBienPuesta",@jorgeapolaya,2021-03-06,terruqueo desinformacion periodismo letrinoso ortiz,1
4,4,4,Jose Ragas,@joseragas,2021-03-06,hace willax libertad expresion campana deliberada desinformacion proposito desestabilizar gobierno sabotear campana vacunacion poner riesgo salud compatriotas obtener beneficios politicos economicos,1
5,5,5,Ferchu152,@ferchu152,2021-03-06,agende martes recibo primer dosis,1
6,6,6,Daniel J. Angulo,@djangulo72,2021-03-06,hecho juntos acabaremos,1
7,7,7,Rossina Guerrero,@rossinagv,2021-03-06,bien ministra clara cumpliendo defender derecho vacunacion informacion basada evidencia,1
8,8,8,Carlos Escaffi,@CarlosEscaffiR,2021-03-06,supera hoy millones vacunados,1
9,9,9,Francisca Mena,@frannkiska,2021-03-06,encanta ministro delgado jajajajajjajaja,1
10,10,10,Norka Málaga,@norkicia,2021-03-06,sinvergenceria llamar terrorista izquierda derecha hace terrorismo puro duro date cuenta peru,1
11,11,11,Yolanda Reboreda,@yolandareboreda,2021-03-06,recibir sms sergas madre diga podras ir visitarla,1
12,12,12,Germán Barcala,@germanbarcala,2021-03-06,agendado vacunarme,1
13,13,13,Nast,@Yevnov,2021-03-06,despues ano pandemia ver cantidad personas enfermas muertas causa enfermedad incluso llevo personas cercanas ver clinica llena casos graves hecho recibir vacuna definitivamente da granito esperanza,1
14,14,14,Arturo Rodriguez,@arturo2driguez,2021-03-06,familiar mayor anos vacunado hablas viejo10 votos22 horas restantes,1
15,15,15,Negritaa,@rrebolledo_,2021-03-06,solo vacunar semanas personas condiciones descritas calendario mama descrito puede vacunar debe esperar,1
16,16,16,Médico In Valium,@MedicoInUtero,2021-03-06,horas post vacuna covid19 leve febricula ayer amaneci ahora artralgias mialgias cuales cedieron intensidad tomar gr acetaminofen,1
17,17,17,Manuel esteban,@Manuele40206871,2021-03-06,claro ahora familias culpa jajasi salieron familia vaca permiso ustedesineptos,1
18,18,18,Pancho Sandoval,@fcosandoval,2021-03-06,genios implementan permiso vacaciones dan senales erradas aumentan contagios adivinen culpables,1
19,19,19,Tam,@Foxyliicius,2021-03-06,van mantener condiciones sanitarias transporte publico sdw,1
20,20,20,Gustavo Gaye,@GustavoGaye,2021-03-06,todavia quedan dosis semana viene,1
21,21,21,Maya,@mayakhamis,2021-03-06,raja vacunatorio movil bien ahi,1
22,22,22,Rodrigo,@simonmazzet,2021-03-06,karla rubilar habla retando,1
23,23,23,Vicho,@GArrendatario,2021-03-06,callen rubilar,1
24,24,24,Rafael Vignoli,@VigRafa,2021-03-06,algun momento lejano pais muertos covid19 seran fundamentalmente vacunados van hacerse responsables muertes hoy pregonan vacunacion,1
25,25,25,GonzaloB,@Gonza2905,2021-03-06,bueno agendado miercoles hora 00 primera dosis abril segunda listo,1
26,26,26,Daniela,@pasame_lasal,2021-03-06,queres vacunar barbaro vacunes supongo tampoco vas querer viajar,1
27,27,27,Ruby Chagüi,@Rubychagui,2021-03-06,hace ano conocio primer caso covid19 pais envio abrazo solidario familias colombianos estan necesario seguir garantizando plan vacunacion continuar respetando medidas bioseguridad,1
28,28,28,Sr. Di Mamami Condori,@MiguelZuu,2021-03-06,si vacunare,1
29,29,29,Eduardo,@Eduardo03199510,2021-03-06,primera dosisme siento afortunado primeros mundo enterogracias uruguay gente gobernantes,1
30,30,30,antto || inactiva,@lFDDAENG,2021-03-06,cachan hoy segunda dosis vacuna covid ando vacaciones hacen fin semana asi puede realizar cualquier lado,1
31,31,31,CeciliaFuentesIcarte,@relatoscomunes,2021-03-06,kate pierson publico vacuno asi solo queda reporte conmemorar anos out of time corresponde,1
