,Nombre de usuario,Usuario,Fecha,Texto,sentiment_value
0,Danesis,@DanesisArce,2021-03-04T23:59:24.000Z,la mejor vacuna contra el uribismo cedemocratico es la jepcolombia,0
1,Paula Ayala,@PaulaaAyala10,2021-03-04T23:14:52.000Z,hoy me vacunaron contra el covid no dejo de pensar y desear con el alma que todos en colombia puedan tener rápido y fácil acceso a la vacuna ,0
2,Alejandra Jiménez,@alejandrajc10,2021-03-04T23:11:39.000Z,yo sí estoy de acuerdo con el señor de la oficina de comunicaciones los hechos superan la demagogia los hechos colombia aplica menos de 20 mil vacunas al día en un país vecino hay una nueva variante del virus matando gente a ritmo record y sin vacuna no estamos protegidos,0
3,Julián Romero,@julianandres298,2021-03-04T22:59:30.000Z,mis parcerxs docentes en argentina ya están recibiendo la vacuna contra el covid19 lo que me aumenta la bronca con iván duque porque aquí en colombia los docentes estamos muy lejos de conocer la vacuna nos envían a las aulas sin garantías ni respeto por nuestra vida,0
4,FabianM,@MattoneFabian,2021-03-04T22:32:32.000Z,che me jodes despues del choreo o vacunagate a gines lo premian con una embajada en colombia beto bigotes de algodón usted no aprende verdad,0
5,𝚅𝚊𝚕,@valedevries,2021-03-04T22:24:02.000Z,en colombia es más fácil que crean que la virgen se apareció en una arepa a que crean en la vacuna,0
6,Organización para la Defensa Del Paciente - DDHH,@odpdh,2021-03-04T21:52:24.000Z,usted tiene claridad sobre el proceso de vacunación informado por minsaludcol en colombia y sabe cuándo accederá a la aplicación de la vacuna contra covid19si lo tengo claro128 no lo tengo claro477 hace falta pedagogía267 hace falta difusión128 86 votosresultados finales,0
7,juan fernando,@juanfer3012020,2021-03-04T21:21:25.000Z,que cuba ya tenga su propia vacuna contra covid nos demuestra que ese famoso dicho castrochavismo es una expresión de idiotas arrodillados que viven y se enriquecen del subdesarrollo en colombia tobonsanin petrogustavo ivanduque diegomatteus margaritarosadf matador000,0
8,Luis Camargo,@camargosky,2021-03-04T20:58:30.000Z,así como hubo odebrechtgate en toda latinoamérica igualmente habrá vacunagate y colombia no será la excepciónestemos listos para otra cochinada del uribismo,0
9,Crittiko,@Crittiko,2021-03-04T19:53:25.000Z,a todas estas ya vacuna de astrazeneca están comenzando a utilizarla en mayores de 60 años recuerdo hace pocos días un opinador criticando la intención de hacerlo en colombia que porque nadie más en el mundo lo había aprobado obvio no va a reconocer error ni a corregir,0
10,Esteban Carlos Mejía,@EstebanCarlosM,2021-03-04T16:42:12.000Z,pandemia ha afianzado brechas de inequidad entre personas y también ha generado un debate deben o pueden los estratos sistema creado en colombia para definir el pago de servicios públicos o el valor de los inmuebles más altos pagar por el costo de la vacuna adrihcooper,0
11,Connie,@ConnieAlfonso5,2021-03-04T16:06:02.000Z,colombiazulmacucunuba claudiavaca5 mariallina espero que a todas las trabajadoras de la salud se les haya priorizado en la lista para recibir la vacuna contra el covid19es la única forma de agradecerles su importante labor en la gestión de esta pandemia,0
12,OSKAR,@W_CHVillalba,2021-03-04T15:33:34.000Z,si colombia produjera una vacuna ud se la pondría,0
13,Os Gordon,@osgordonarte,2021-03-04T15:27:42.000Z,dizque el chip de bill gates ya lo piratearon en colombia y lo están vendiendo en el centro sin necesidad de vacuna,1
14,Eduardo diaz,@americanofiel1,2021-03-04T14:15:20.000Z,que condiciones coloco pfizer para vender la vacuna del covid 19 a colombia,0
15,jaime pelaez,@jaimepelaezv,2021-03-04T13:55:21.000Z,acá en colombia lo malo no sólo pasa por el centro demoníaco dino también por sahagun políticos corruptos y ahora dizque lo de la enfermera por la vacuna ah ,0
16,Julián Toro,@jjtoroc,2021-03-04T12:30:11.000Z,soñé que colombia sacaba una vacuna que no protegía del covid pero si de la mamertitis,0
17,Pazcificosta,@fidel_urrego,2021-03-04T12:18:35.000Z,si colombia tiene 1122 minsaludcol está aplicando 1138 vacunas diarias por municipio la delincuencia les puede enseñar como se vacuna rapidito o preguntele a minhacienda,0
18,Mario Montero,@mmonteroq,2021-03-04T11:28:25.000Z,preocupante antonio pratto integrante del comando vacuna ha dicho que desde junio se está negociando la compra de 5 millones de vacunas de johnson johnson y le extraña que aún no se haya concretado mientras colombia ya compró 9 millones,0
19,Andrés Díaz,@Andres_Diaz_D,2021-03-04T11:23:06.000Z,cuba ha desarrollado varias vacunas para el covid19 una vacuna entra en fase 3 y otra en fase 2 colombia por el contrario nada que llega ni a 100 mil vacunados y eso q ya llegó el primer cargamento que nos tocó medingar por covax,0
20,John Robkes,@JohnRobkes,2021-03-04T10:26:22.000Z,colombianos ya salió hablar el analfabetos del ministerio de salud para dar luz verde para que los ricos compren vacuna yvendan en colombia el mitómano de duque y su incapaz de matasanos que tiene no van a cumplir con el veneno que quieren que te pongas no es raro que levanten td,0
21,LaRadiodelGato,@pulsop_103_3fm,2021-03-04T10:11:46.000Z,mientras cuba prueba 4 vacunas contra el covidcolombia está en fase de prueba de la vacuna llamada reforma tributaria ya la está presentando en comités de corrupción de los partidos políticos amigos del gobierno y al que no se deje vacunar le aplican un falso positivo,0
22,GABO55,@Gaboss55,2021-03-04T05:58:21.000Z,la embajada rusa en colombia desde el mes de agosto ofreció al gobierno colombiano la vacuna que ellos producen ni siquiera tuvieron la gentileza de responderles hoy esa vacuna se va producir en cuba y la efectividad es de más del 93,0
23,Luis Verde,@LuisVer81776911,2021-03-04T02:27:38.000Z,si en colombia toman la determinación de agarrar los de la venta de droga para comprar la vacuna contra la covid entre meses pueden vacunar todos los colombianos,0
24,Gustavo Escobar,@gaescor,2021-03-04T02:01:10.000Z,en miami están poniendo la vacuna para el covid en muchas farmaciasen colombia en cualquier ciudad cómo va el tema de las vacunas,0
25,Cristian Sanabria Parra,@elchivitofeliz,2021-03-04T01:33:48.000Z,vacuna más rápido luisndaza corriendo en chanclas en vez de colombia,0
