,Unnamed: 0,Unnamed: 0.1,Nombre de usuario,Usuario,Fecha,Texto,Sentimiento
0,0,0,Aurora Fuentes,@paysandusiempre,2021-03-06,dejar mirar numero caso positivo ayer numero cti 992 80,1
1,1,1,majo,@majoattacks,2021-03-06,adulto mayor familia tambien hacer conversar abuelito nadie nieto tratar el carino informar aprender junto,1
2,2,2,#YoApruebo,@xapahernandez,2021-03-06,dalai lama vacuno todavia dar color,1
3,3,3,"Ashishito
#MascarillaBienPuesta",@jorgeapolaya,2021-03-06,terruqueo desinformacion willaxtv periodismo letrinoso ortiz,1
4,4,4,Jose Ragas,@joseragas,2021-03-06,hacer willax libertad expresion campana deliberado desinformacer proposito desestabilizar gobierno sabotear campana vacunacion poner riesgo salud compatriota obtener beneficio politico economico,1
5,5,5,Ferchu152,@ferchu152,2021-03-06,agender martes recibo primero dosis,1
6,6,6,Daniel J. Angulo,@djangulo72,2021-03-06,hecho junto acabar,1
7,7,7,Rossina Guerrero,@rossinagv,2021-03-06,bien ministra vbermudezv pcmerur claro cumplir defender derecho vacunacion informacion basado evidencia,1
8,8,8,Carlos Escaffi,@CarlosEscaffiR,2021-03-06,superar hoy 4 millón vacunado,1
9,9,9,Francisca Mena,@frannkiska,2021-03-06,encantar ministro delgado jajajajajjajaja,1
10,10,10,Norka Málaga,@norkicia,2021-03-06,sinvergencerio llamar terrorista izquierdo derecho hacer terrorismo puro duro date cuenta peru,1
11,11,11,Yolanda Reboreda,@yolandareboreda,2021-03-06,recibir sms sergo madre decir poder ir visitarlo,1
12,12,12,Germán Barcala,@germanbarcala,2021-03-06,agendado vacunar yo ceuuy,1
13,13,13,Nast,@Yevnov,2021-03-06,despue ano pandemia ver cantidad persona enfermo muerto causa enfermedad incluso llevar persona cercano ver clinica lleno caso grave hecho recibir vacuna definitivamente dar granito esperanza,1
14,14,14,Arturo Rodriguez,@arturo2driguez,2021-03-06,familiar mayor 80 ano vacunado hablar viejo 10 voto 22 hora restante,1
15,15,15,Negritaa,@rrebolledo_,2021-03-06,ministeriosalud solo vacunar semana persona condición descrito calendario mama 56 descrito poder vacunar deber esperar,1
16,16,16,Médico In Valium,@MedicoInUtero,2021-03-06,24 hora post vacuna covid19 leve febricular ayer amanecer ahora artralgia mialgio cual ceder intensidad tomar 1gr acetaminofen,1
17,17,17,Manuel esteban,@Manuele40206871,2021-03-06,claro ahora familia culpa jajasi salir familia vaco permiso ustedesinepto,1
18,18,18,Pancho Sandoval,@fcosandoval,2021-03-06,genio ministeriosalud implementar permiso vacaciones dar senal errado aumentar contagio adivinen culpable,1
19,19,19,Tam,@Foxyliicius,2021-03-06,ir mantener condición sanitario transporte publico drenriqueparis sdw,1
20,20,20,Gustavo Gaye,@GustavoGaye,2021-03-06,todavia quedar 68000 dosis semana venir,1
21,21,21,Maya,@mayakhamis,2021-03-06,raja vacunatorio movil bien ahi,1
22,22,22,Rodrigo,@simonmazzet,2021-03-06,gar el rubilar hablar retar,1
23,23,23,Vicho,@GArrendatario,2021-03-06,callar rubilar,1
24,24,24,Rafael Vignoli,@VigRafa,2021-03-06,alguno momento lejano pais muerto covid19 ser fundamentalmente vacunar ir hacer él responsable muerte hoy pregonar vacunacion,1
25,25,25,GonzaloB,@Gonza2905,2021-03-06,buen agendado miercoles 10 hora 1000 primero dosis 7 abril segundo listo,1
26,26,26,Daniela,@pasame_lasal,2021-03-06,querer vacunar barbaro vacun suponer tampoco ir querer viajar,1
27,27,27,Ruby Chagüi,@Rubychagui,2021-03-06,hacer ano conocer primero caso covid19 pais envio abrazo solidario familia 60300 colombiano estar necesario seguir garantizar plan vacunacion continuar respetar medida bioseguridad,1
28,28,28,Sr. Di Mamami Condori,@MiguelZuu,2021-03-06,si vacunar,1
29,29,29,Eduardo,@Eduardo03199510,2021-03-06,martes primero dosis sentir afortunado primero mundo entero gracias uruguay gente gobernante,1
30,30,30,antto || inactiva,@lFDDAENG,2021-03-06,cachar hoy segundo dosis vacuno covid andar vacaciones hacer fin semana asi poder realizar cualquiera lado ministeriosalud,1
31,31,31,CeciliaFuentesIcarte,@relatoscomunes,2021-03-06,kate pierson publico vacuno asi solo quedar reportar remhq conmemorar 30 ano out of time corresponder,1
32,32,32,elioedel Gibert Quintana,@ElioedelQ,2021-03-06,seguir adelante lucha acabar covid 19 esperanza vacuno,1
33,33,33,Angela,@anyi_vb,2021-03-06,vacunado,1
34,34,34,Laaus,@Laau_MS,2021-03-06,animar haber poner semana 1 dosis vacuna poner pronto tambien 24h sintoma volar vacunarse,1
35,35,35,One World no walls,@Pichulito,2021-03-06,tanto vacunado vo tanto indefenso,1
36,36,36,FERNWEH,@TimmyBurch2,2021-03-06,hastag tribuneo partido jugar boludez saber votar,1
37,37,37,Abel Gilvonio,@abelgilvonio,2021-03-06,frente todo banda mafioso delincuencial querer bajar él gobierno transicion solo quedar cerrar fila companero defender presidente fsagasti seguir campana salvar vida millón peruano vivo prueblo peruano,1
38,38,38,Claudia Truccelli,@CTruccelli,2021-03-06,martes ir sinovac,1
39,39,39,Jime,@jimesaret,2021-03-06,buen dia vacunar él,1
40,40,40,Vane,@vanesolaa,2021-03-06,2a dosis vacuna covid puesto efecto secundario pequeno sensacion febricular dolor articular mejor intubado ninguno duda enfrmrasaturado,1
41,41,41,Jennie Goslino Biassini,@jemago62,2021-03-06,izquierda vacuno,1
42,42,42,Diego Costemalle,@CostemalleDiego,2021-03-06,escala 1 10 confiario cientifico b politico c pit cnt dun terraplanista drsalle,1
43,43,43,Piece of Cake uy,@Pieceof48057522,2021-03-06,pasar seguir quedar vacuna apuro tanto queja seguir quedar mil dosis,1
44,44,44,Silvia Massi,@SilviaMassi1,2021-03-06,agendado martes vacuno,1
45,45,45,Dani,@Guante_De_Goma,2021-03-06,vacunir ahora esperar segundo dosis,1
46,46,46,mariela.n,@marielanavasc,2021-03-06,hoy agender vacuno martes,1
47,47,47,Alejandro,@zapatatataa,2021-03-06,deberir ebrio ver,1
48,48,48,Gonzalo Na_Cabro,@Na_Cabro,2021-03-06,si leer siguiente numero ritmo tú vacunar 03 03 456 pdme robar fb perder enlace sorry,1
49,49,49,Sebastián Marroni,@sebamarroni89,2021-03-06,inepto pugliainvita decir izquierda querer vacunar ir politizar,1
50,50,50,Silvina,@SilvinaTeacher,2021-03-06,che si tocar vacunar él hacer semana caer oferta apuntar grupo ir esperar convencer,1
51,51,51,Ro Ocampo,@roxaocampo,2021-03-06,agendado vacuna,1
52,52,52,Δnd3r RyeS,@Bandr3s,2021-03-06,gente querer tener titulo universitario gente querer tener carnet vacunacion covid,1
53,53,53,Fernando Panizza,@FernandoPanizza,2021-03-06,agendado martes 9 manana,1
54,54,54,Sebastian Briones,@sebabriones,2021-03-06,21 poblacion primero dosis,1
55,55,55,Silvia,@Silvia68375851,2021-03-06,hijo primero dosispersonal esencialesposo agendado 10032021mi nuera esperar franjadesicion tomado momento 1en familiapor mipor tipor drdanielsalina,1
56,56,56,Marita del mar Botero C,@Boteromarita,2021-03-06,noticiascaracol hablar pandemia pasado muerte continuar personal salud seguir agotado gobierno ser insuficiente gestion aun vacuna vacio seguir mostrar 3 mundo,1
57,57,57,Enrique Baliño,@ebalino,2021-03-06,gente enemigo comar llamar covid19 ir vacunar yo amigo familia uruguayo poner él celeste ganar él whatsapp 098 999 999 vamoooo,1
58,58,58,Consuelo,@con_j,2021-03-06,molestar mas gente querer vacunar él inconsciente egoista ignorante saltar fila vacunar él mientras vacunir mejor,1
59,59,59,Jantoka,@jantoka,2021-03-06,obligacer gobierno proveer vacuna ninguno esfuerzo humano favor trabajo ninguno regalo pagar dinero cierto informacion bloqueo 5 ano,1
60,60,60,Fresia,@fresiasandra,2021-03-06,segundo dosis ok gracias,1
61,61,61,"Silmora,",@SilmoraUy,2021-03-06,tocar,1
62,62,62,Pablo Martínez.,@Pablouruguay,2021-03-05,lunes tarde vacuno,1
63,63,63,SalvadorSchwartzmann,@S_Schwartzmann,2021-03-05,campana vacunacion masivo coronavirus alcanzar 4031812 vacunado ser cuidandonar turno,1
64,64,64,Ceci,@Ceciiii83,2021-03-05,feliz segundo dosis vacuna solo doler brazo mas influenza,1
65,65,65,Alfredo Martínez,@FredoalMartinez,2021-03-05,imaginar hermoso serio tiempo poder abrazar yo festejar él festejar haber él lograr ser primero pais mundo lograr vacunar mayor parte poblacion,1
66,66,66,Una chica muy normal,@Lumosvevi,2021-03-05,correr vena,1
67,67,67,Rolando Manuel,@Rolando_Manuel,2021-03-05,toque querer empezar ver final horror significado pandemio vacuna fin si comienzo alcanzar final tanto muerte paralisis social,1
68,68,68,gracielacassina,@gracecassina,2021-03-05,lunes,1
69,69,69,GobiernoAlerta,@GobiernoAlerta,2021-03-05,bio actualizado desdelamoncloa bienvenido contar oficial twitter gobierno,1
70,70,70,Pia,@piastopia,2021-03-05,contentisimo papas hora vacunar él,1
71,71,71,Mariana Margulis,@MarianaMarguli1,2021-03-05,tendencia lleno orgullo 55 59 ano dar ejemplo drdanielsalino,1
72,72,72,Tincho Tejera,@tincho_tejera,2021-03-05,obvio varios pelotudo quejar demora vacuna llegar ir ir manual solo romper huevo toque toque,1
73,73,73,Paciel Daniela,@PacielDaniela,2021-03-05,alcanz acon decir querer vacuna aca estar querer lograr gente vacunir pues campana publicitario full referente explicar creer creer vacunar,1
74,74,74,@pizarraenblanco,@pizarraenblanco,2021-03-05,conocer cuento quinto piso buen parecer asi oriental in cre i ble,1
75,75,75,Gaston Nicolas Castillo,@GCastillo_uy,2021-03-05,hoy vacunar él mejor gesto hacia otro poder hacer corresponder segmento riesgo recomendacion medico hacer tocar ser responsable cuidarno todoso ir ganar,1
76,76,76,Cataldito,@aguscata,2021-03-05,bajo vacunacion mostrar cosa grieta politica querer instaurar llegar vacuna politice vacuna bloqueo,1
77,77,77,L a m a r c e w a l l e s,@MarcelawallesL,2021-03-05,vacuna,1
78,78,78,Luciano Paiva C.,@lucianopaivac,2021-03-05,madre tratamiento cancer 62 ano lograr ir dia vacunacion dia miercoles pasado poder hacer vacuna agradecer ayuda,1
79,79,79,GobiernoAlerta,@GobiernoAlerta,2021-03-05,bio actualizado saludpublico contar oficial gobierno espano informacion inter ciudadania cuestión salud publicar,1
80,80,80,BrendaAlvarez,@alvabren,2021-03-05,papa querer vacunar él fake news acabar registrar él essaludperu emocionar dejar mas tranquilo ser promover vacunacion persona adulto mayor vacuna salvar vida,1
81,81,81,Tiago Farias,@TiagoFarias65,2021-03-05,oficialmente recibir primero dosis pfizero,1
82,82,82,Pablo D. Dans,@DansPablo,2021-03-05,lugar proponer hashtag alternativo,1
83,83,83,SC,@SandraC27G,2021-03-05,hoy vacunar poder decir nunca pensar gracias estar bien solo pensar gracias dio poder atender paciente poder ver familia amigo tener miedo terminar uci si tú,1
84,84,84,Irene Telias Hasson,@IreneTelias,2021-03-05,dar pena drenriqueparis perder compostura dignidad medico convertir titere 2 piso,1
85,85,85,Luc@s24™,Luc@s24™,2021-03-05,listo 2 dosis laboratorio,1
86,86,86,Xenia Covarrubias,@xeniavcb,2021-03-05,verdad gobierno pensar joven 23 ano mas riesgo enfermar gravemente joven 18 enf cronica ultimo 6anos llevar hospitalizado 12 vez mayoria uci pdazan drenriqueparis sebastianpinera,1
